,hair,arm,hand,finger,toe,lamp,chair,table,couch,bed,window,door,refrigerator,bathtub,shirt,bib,pants,sock,glove,blanket,pillow,towel,napkin,toy,tray,box,book,paper,hat,spoon,crayon,balloon,ball,egg,orange,apple,plant,plate,bowl,bottle,cup,bucket,can
pillow,0.9580076336860657,0.7302379608154297,0.994350016117096,1.1102399826049805,1.0677496194839478,1.1080328226089478,0.6844671964645386,0.8185917735099792,0.36606645584106445,0.35381829738616943,0.8617286086082458,0.8243595361709595,0.8447557687759399,0.7883428335189819,0.8049017190933228,0.7198615074157715,0.6847255229949951,0.8241853713989258,0.8525701761245728,0.2965429425239563,0.0,0.4511685371398926,0.5717409253120422,1.2179436683654785,1.114707112312317,0.9478801488876343,1.083868145942688,0.9132198691368103,1.0181663036346436,1.2205663919448853,1.2454392910003662,1.0978286266326904,1.2086726427078247,1.1759839057922363,1.218522310256958,1.2427698373794556,1.049919843673706,1.1319828033447266,1.1454585790634155,1.166385293006897,1.156815528869629,1.0991642475128174,0.9601929187774658
towel,1.1783376932144165,0.9842662215232849,1.1699281930923462,1.207847237586975,1.182517409324646,0.9116279482841492,0.7367569804191589,0.9123163223266602,0.8163996934890747,0.7196648716926575,0.9072080254554749,0.8627797365188599,0.8338884115219116,0.8439894914627075,0.9275460839271545,0.6051000952720642,0.9078699350357056,0.7605252265930176,0.8010175824165344,0.4743257164955139,0.4511685371398926,0.0,0.10258358716964722,1.2040926218032837,1.0728201866149902,0.9055315852165222,1.0945217609405518,0.7725299000740051,0.9800560474395752,1.0709891319274902,1.0932166576385498,1.134692668914795,1.2113409042358398,1.2178940773010254,1.2325525283813477,1.2654433250427246,0.9419471621513367,1.023881435394287,1.0674307346343994,1.0166501998901367,1.0322661399841309,0.9511842727661133,0.9156635999679565
napkin,1.2217804193496704,1.0036836862564087,1.097273349761963,1.0806858539581299,1.0713101625442505,0.8815951347351074,0.8795489072799683,0.9599114656448364,0.9736528992652893,0.9004063010215759,0.9892522096633911,0.9333989024162292,0.9075191020965576,0.9176537990570068,1.0457425117492676,0.6692423820495605,1.0454727411270142,0.8388288021087646,0.8249229192733765,0.6821235418319702,0.5717409253120422,0.10258358716964722,0.0,1.2677958011627197,1.0451339483261108,0.9082823991775513,1.1093003749847412,0.6093371510505676,0.9516820907592773,0.9428525567054749,0.9697773456573486,1.0970044136047363,1.1275793313980103,1.0785181522369385,1.1175175905227661,1.1640921831130981,0.9899816513061523,0.8607350587844849,0.9894480109214783,0.9895704984664917,0.9508734345436096,0.9266358613967896,0.9170812964439392
toy,1.1182122230529785,1.1124554872512817,1.0710757970809937,1.2462130784988403,1.3059335947036743,1.1256093978881836,0.8861808776855469,0.8508599996566772,0.9664121866226196,0.9695680141448975,1.0145624876022339,1.095276951789856,1.0645267963409424,0.9059616327285767,1.1015870571136475,0.9794846773147583,1.1710622310638428,1.0253905057907104,0.9381537437438965,1.0069094896316528,1.2179436683654785,1.2040926218032837,1.2677958011627197,0.0,0.5955623984336853,0.9005366563796997,0.6821460723876953,0.9825522899627686,1.2100998163223267,1.182539463043213,1.0951685905456543,0.8805879950523376,1.0282819271087646,1.146263599395752,0.9868797659873962,1.0305299758911133,1.0339123010635376,1.090032935142517,0.9073229432106018,0.9015626907348633,0.8526163697242737,0.7926543951034546,1.0548782348632812
tray,1.196893334388733,1.0729703903198242,1.1166701316833496,1.3443231582641602,1.4612082242965698,1.2203044891357422,0.8367981314659119,0.5188421607017517,0.8994300365447998,0.8223442435264587,1.0137428045272827,0.9826995134353638,0.8280739784240723,0.5035820603370667,1.0660489797592163,0.8689625263214111,1.108413577079773,1.1715127229690552,1.1194837093353271,0.9531987905502319,1.114707112312317,1.0728201866149902,1.0451339483261108,0.5955623984336853,0.0,0.71065753698349,0.612396240234375,0.7119244933128357,1.3292256593704224,1.1001982688903809,1.1976256370544434,1.1649614572525024,1.294848918914795,1.2884763479232788,1.228704810142517,1.2234994173049927,1.197330117225647,0.6411397457122803,0.6342592239379883,1.0875680446624756,0.8335293531417847,0.6326287984848022,0.8259974122047424
box,1.1274163722991943,1.0752532482147217,1.1622931957244873,1.224492073059082,1.2338569164276123,1.066244125366211,0.7078518867492676,0.737480878829956,0.7849279642105103,0.9295058250427246,0.9200403690338135,0.7601849436759949,0.6629126071929932,0.8825953006744385,1.1125272512435913,1.050655722618103,1.0664925575256348,1.0243767499923706,1.1142349243164062,1.0371806621551514,0.9478801488876343,0.9055315852165222,0.9082823991775513,0.9005366563796997,0.71065753698349,0.0,0.736102819442749,0.7821954488754272,1.0677651166915894,1.2228281497955322,1.1548726558685303,1.0781623125076294,1.1569290161132812,1.238182783126831,1.160890817642212,1.1546716690063477,0.9617189168930054,1.0864863395690918,0.9679357409477234,0.9153255224227905,0.9215285778045654,0.7123503088951111,0.6902981400489807
book,0.9660484790802002,0.9599334597587585,1.003835916519165,1.228501319885254,1.3123904466629028,1.1909160614013672,0.9249480962753296,0.7423028349876404,0.8749301433563232,0.7861493825912476,0.8946399092674255,1.0465441942214966,0.9594709277153015,0.8770707249641418,0.91487717628479,0.7766644954681396,0.9845340847969055,1.003696084022522,1.016526699066162,0.8549315929412842,1.083868145942688,1.0945217609405518,1.1093003749847412,0.6821460723876953,0.612396240234375,0.736102819442749,0.0,0.45852774381637573,1.2309521436691284,1.285902500152588,1.1906323432922363,1.1439433097839355,1.237330436706543,1.2877931594848633,1.2019617557525635,1.1578257083892822,0.9968309998512268,1.1146719455718994,1.112682580947876,1.1656043529510498,1.1394531726837158,1.0181410312652588,1.1040616035461426
paper,0.9888748526573181,0.8223088383674622,0.8964200615882874,1.1182410717010498,1.2214106321334839,1.1495521068572998,0.9470139741897583,0.6404560208320618,0.8809117078781128,0.7776001691818237,0.8893770575523376,1.0101537704467773,0.8578817248344421,0.8251587152481079,0.8848944306373596,0.6379969716072083,0.935652494430542,0.9851118326187134,0.893223762512207,0.7713844180107117,0.9132198691368103,0.7725299000740051,0.6093371510505676,0.9825522899627686,0.7119244933128357,0.7821954488754272,0.45852774381637573,0.0,1.222255825996399,1.203243374824524,1.131911039352417,1.1913330554962158,1.2852872610092163,1.2621238231658936,1.209192156791687,1.2396221160888672,1.1264612674713135,1.0029655694961548,1.0839769840240479,1.143567442893982,1.0905686616897583,0.9987528920173645,0.9433186054229736
hat,0.7460962533950806,1.1967157125473022,1.0412685871124268,0.7902894020080566,0.6697572469711304,0.8909343481063843,1.0915521383285522,1.375414252281189,1.2402963638305664,1.2710645198822021,1.199902892112732,1.1471985578536987,1.230222225189209,1.306280493736267,1.0325833559036255,1.0771291255950928,1.0188918113708496,0.9221343994140625,0.9113782048225403,1.2145357131958008,1.0181663036346436,0.9800560474395752,0.9516820907592773,1.2100998163223267,1.3292256593704224,1.0677651166915894,1.2309521436691284,1.222255825996399,0.0,0.8254276514053345,0.733873724937439,0.7189602851867676,0.6573423147201538,0.7445514798164368,0.7829229831695557,0.840402364730835,0.9918293356895447,0.9208660125732422,1.0700714588165283,0.8524059653282166,0.9735833406448364,1.053253412246704,1.1328164339065552
spoon,1.2380166053771973,1.2426167726516724,1.0427217483520508,0.7814056277275085,0.797039270401001,0.5348514318466187,1.215126872062683,1.3665850162506104,1.4683424234390259,1.4817323684692383,1.2506848573684692,1.1792422533035278,1.187239170074463,1.2327618598937988,1.3597033023834229,1.4248015880584717,1.4060161113739014,1.1448787450790405,1.1577222347259521,1.4147436618804932,1.2205663919448853,1.0709891319274902,0.9428525567054749,1.182539463043213,1.1001982688903809,1.2228281497955322,1.285902500152588,1.203243374824524,0.8254276514053345,0.0,0.4719146490097046,0.8147077560424805,0.7470301389694214,0.7371812462806702,0.8168824315071106,0.7825144529342651,0.9179503321647644,0.5840591192245483,0.6814242601394653,0.7789195775985718,0.7125041484832764,0.9254021644592285,0.9979599118232727
