,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,bench,bib,bird,blanket,book,bottle,bowl,box,bread,bucket,can,car,cat,chair,clock,closet,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,egg,elephant,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,meat,milk,mitten,mouth,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pillow,plant,plate,pony,purse,radio,refrigerator,rooster,scissors,shirt,shoe,shorts,sink,slide,slipper,soap,sock,soup,spoon,sweater,table,tape,toe,toothbrush,towel,toy,tray,vacuum,watch,window
car,0.95640254,0.9143945,0.6542502,1.2278225,0.5902927,0.85688543,0.9938761,0.97289944,1.283726,1.2414356,1.3013048,1.2095377,0.9890862,1.2747991,1.10806,0.5351813,0.9226288,1.0937966,0.94925964,0.9891401,0.81569576,0.0,1.21635,0.90733504,0.6623431,1.2472711,1.2592659,1.1187772,0.5372901,1.1724563,0.53496504,1.227056,1.0678513,1.1892505,1.018413,0.8991696,1.0657238,1.0398843,0.79290545,0.96607506,0.917502,1.0470102,0.7327958,1.025457,0.92075694,0.7967576,0.759346,1.2050897,1.1344935,1.2132064,0.8506702,0.74550784,1.0848417,0.5202668,1.090106,1.2960145,1.2789785,0.9036906,1.162897,0.9379962,1.115965,1.1625826,0.7699671,1.0682644,0.8045496,0.937562,1.1736034,0.7957312,1.2930331,1.1538069,1.171885,0.59276676,0.68085957,1.05544,0.7619909,0.86913115,0.9273666,0.871107,1.065391,1.0806154,1.2064438,0.9275666,0.942298,1.1925052,1.155345,1.1516955,1.0933805,1.2548922,0.7368931,0.6536014,0.80093837,1.2109082,0.89511925,1.2465363,1.3303087,0.71407974,0.8612094,0.98900896,1.1266053,0.6883906,1.2190979,0.96282464,0.6976279,1.0689142
cat,1.0036316,1.2097338,1.2450815,0.94369465,1.1829185,1.1061317,0.9026798,1.0208313,0.8829063,0.86591446,0.8968028,0.9457492,0.9071863,0.87612236,0.8537046,1.2440197,1.0807831,0.9715218,1.0933039,1.0553309,1.2890415,1.21635,0.0,1.054781,1.1989332,0.9731499,0.86959434,1.0272046,1.3178568,0.67670023,1.245256,0.037199736,0.9054712,0.9540445,1.0176361,1.152582,0.97579294,1.2232649,1.0282806,0.9357284,1.260613,1.1112427,1.0493038,0.98589605,1.1118575,1.0825193,0.989609,0.80366874,0.92707527,1.0445092,1.1325415,1.0705993,0.9710532,1.1891346,1.0504047,1.0473063,0.8201068,1.1380037,0.99418044,1.0229288,1.0264671,1.0229727,1.2880652,1.0820787,1.1597736,1.2127573,0.925007,1.1624575,0.86553496,0.9760952,0.9105305,1.2351651,1.2504296,0.9567937,1.2947006,0.97223306,1.0976008,1.0719221,0.99735785,0.98731565,0.8692692,0.61859727,1.0254879,0.85279846,0.91853184,1.0330195,0.9993179,0.9333993,1.337821,1.2421802,1.226173,0.90290874,1.2181464,0.8726232,0.67618626,1.1731875,1.1915758,1.1115137,0.98276377,1.0458887,0.9397852,1.141423,1.1818677,0.9271308
chair,1.0380214,1.2938007,1.2255008,1.1097414,1.1241974,1.1780441,1.1296539,0.7274096,0.8358785,0.7745158,0.53882337,1.1592126,0.98736066,1.0199944,1.0907471,0.86914885,1.0322169,0.87410194,1.301701,0.80401766,0.541911,0.90733504,1.054781,0.0,1.1195807,0.8281181,0.62858677,1.1795714,1.0681739,0.5351142,0.8741726,1.0572996,1.185387,0.6171976,0.85754013,1.1267307,0.9400271,1.3754393,0.9775126,0.96262974,1.1533567,0.94422716,1.0903826,1.0558176,1.1947179,1.049329,1.187011,1.1810646,1.2346328,1.286986,1.0002732,0.79137665,0.9470471,0.990105,0.9704066,1.0629027,0.7062136,0.91332024,1.153074,0.8724852,1.1780417,1.3351322,1.3083062,1.0296222,1.0291817,1.2227875,0.6195313,1.0068978,1.0333202,0.8658005,1.1107217,0.99865866,1.0730575,1.032315,0.8025484,0.8405373,1.0644661,1.0860949,0.6635794,0.90249944,0.6186297,1.0888383,1.0884613,1.0419085,1.0742162,0.92432725,0.9562636,0.9706328,1.1814063,0.8468015,0.93862975,1.227346,1.1453487,1.0608021,0.80248415,0.9741677,1.2747813,0.93104607,0.94809526,1.0285308,0.83120954,0.53047836,1.0277783,0.7038024
clock,0.9681432,0.5915612,0.56114745,1.3269944,0.53607434,1.0971713,1.1356633,1.2289273,1.4807824,1.4215087,1.4582577,1.3470987,1.0378269,1.4177861,1.2964613,0.3242427,1.0329951,1.1983006,0.87759775,1.1164436,0.6680784,0.6623431,1.1989332,1.1195807,0.0,1.2489727,1.4079909,1.1638553,0.31766886,1.4110959,0.2671771,1.2263297,0.8999138,1.1944829,1.1362184,0.9264092,0.9526235,0.70622736,0.9859479,1.062315,0.78645784,1.1417923,0.6273116,1.2820092,0.5496677,0.9987657,1.1277165,1.0637758,1.1995924,1.2577345,0.67282015,0.82607746,1.0276278,0.3264255,1.0411278,1.1742586,1.3228805,0.6943362,1.2335914,1.0540743,1.3074744,0.91220534,0.39364564,1.0991653,0.5670388,0.8881979,1.2803245,0.73453206,1.4363922,1.2018703,1.3093303,0.5920305,0.53825116,1.210009,0.7618439,0.97464335,0.8897783,0.4825915,1.4447865,1.090087,1.3212515,0.5397823,1.1306738,1.2213724,1.3560818,1.2790499,1.1853132,1.3489033,0.3390444,0.6745367,0.89320505,1.235558,0.6605891,1.3081619,1.4915888,0.7233951,0.4584251,0.927567,1.3610198,0.76137775,1.4493322,0.8808651,0.22219133,1.1870295
closet,1.0598978,1.1823915,1.2760893,0.7500925,1.239584,1.139746,1.1731161,1.027468,0.5575054,0.6750428,0.7679837,0.8476328,1.0720146,0.8516907,0.93295443,1.2295375,1.1353568,0.977035,1.2913213,1.187411,1.0692271,1.2472711,0.9731499,0.8281181,1.2489727,0.0,0.6388587,1.0083781,1.2006562,0.6874884,1.279352,0.9909657,1.2778459,0.35142565,0.8365098,1.2392478,0.9460937,1.1133744,1.0657456,1.0954318,1.2169962,0.99576473,1.2673928,1.0764015,1.1860988,1.2881305,1.2885033,0.897645,1.0118084,0.967495,1.1481586,1.1844381,1.008236,1.2738928,0.7812178,0.8064386,0.69909805,1.0131857,1.0435835,0.98011065,1.0687283,1.1032643,1.1936406,1.2424202,1.20837,1.1980367,0.4316777,1.179138,0.7687769,0.6301246,1.0016773,1.1051402,1.1272793,0.96560645,1.2241536,1.0795653,1.1945912,1.1473222,0.8292032,1.062103,0.4392364,1.2135032,1.0791545,0.74650526,1.0178514,0.75036645,0.88038766,0.88276076,1.2351942,1.1723585,1.1073754,1.0470774,1.1242411,0.788184,0.71423686,1.2164192,1.2729396,1.0160135,1.114889,1.2850623,0.87260085,0.90555024,1.198406,0.61521286
couch,1.1462544,1.2916973,1.357233,0.7306683,1.3991586,1.1069826,1.0537122,0.8571279,0.4007488,0.26206362,0.5037581,0.61594,1.1435908,0.5236488,0.8157947,1.480565,1.1291239,0.78595054,1.3678632,0.9979213,1.1476091,1.2592659,0.86959434,0.62858677,1.4079909,0.6388587,0.0,0.9651375,1.4781737,0.52264154,1.4436855,0.87602055,1.1344835,0.6210673,1.0360503,1.2532145,0.9443584,1.2013769,0.982048,1.1074198,1.2235426,1.2095913,1.4585631,1.029461,1.3953637,1.1798651,1.125133,0.8881659,1.044285,0.9898354,1.3309925,1.2289486,0.8276187,1.393481,0.69308156,0.85082173,0.44107926,1.3343778,0.8471595,1.0925274,0.894996,1.1649117,1.3622112,0.94893706,1.469905,1.1849747,0.55284405,1.3199574,0.59572417,0.5441712,0.9276162,1.3448805,1.4055431,1.0423298,1.14319,1.1176597,1.0761791,1.3420132,0.5945233,1.0458814,0.5699247,1.3102849,1.1726799,0.61970556,0.79291165,0.6083657,0.91056937,0.59939134,1.397624,1.2879653,1.1656927,1.0269969,1.4850955,0.49510926,0.36167657,1.3666266,1.4147844,1.1245714,0.6903833,1.2426512,0.7030511,1.074683,1.323115,0.7236606
cracker,0.9963048,1.0031297,1.0939766,0.9580542,1.1497759,0.75797933,1.005549,1.0116844,0.8848244,0.97765416,1.0116341,0.9660721,1.0916457,0.9516922,0.9974303,1.2181035,0.9611144,0.9926397,0.88627905,1.0861105,1.1287832,1.1187772,1.0272046,1.1795714,1.1638553,1.0083781,0.9651375,0.0,1.2207389,1.0590259,1.2204509,1.0417373,0.9978363,0.98453075,1.0214604,0.88038427,1.0208951,0.87354547,1.0496691,1.0139972,0.96974313,1.0367098,1.1788285,0.90567887,1.0970826,0.90905553,0.90869117,1.002303,0.87370586,0.72441864,1.1249068,1.1725552,1.0110587,1.1395901,1.044853,0.94546837,0.9036095,1.1361992,0.8685819,1.1350783,0.9800041,0.97450966,1.0485715,0.95459634,1.1115661,0.81969154,1.045149,0.93889093,1.0909047,1.0377346,0.73549575,1.2079642,1.1935581,0.85625374,1.0648112,1.0689064,0.97931886,1.1728781,1.0184712,1.0184478,1.0398488,1.2689242,1.1211747,1.0106398,0.9649343,1.0176337,0.8155394,0.95947164,1.111895,1.1212219,0.9980308,0.74623394,0.912349,0.9650576,0.87311876,1.1145796,0.932712,0.9876226,0.9072565,1.2707996,0.98178,1.1887718,1.1488254,1.0061277
crayon,0.8921996,0.68511605,0.47764117,1.3515252,0.48714584,1.038434,1.1008985,0.9909299,1.5265441,1.4617786,1.4480212,1.4189177,0.9229003,1.4477421,1.2450612,0.2646339,1.0314385,1.1817727,0.95811826,1.0924563,0.6039139,0.5372901,1.3178568,1.0681739,0.31766886,1.2006562,1.4781737,1.2207389,0.0,1.4080288,0.27275896,1.3228862,1.0787004,1.252826,1.0463082,0.87102556,0.99470544,0.8200004,0.8856309,1.0175589,0.7558035,0.95376205,0.5945154,1.2512968,0.67610794,0.9877668,0.9897775,1.2554622,1.2613039,1.258956,0.75811225,0.7800015,1.0981933,0.40581524,1.1672008,1.1309583,1.4029987,0.5607668,1.2769957,1.0646414,1.2183292,0.96696395,0.46071047,1.1354628,0.4712332,0.91242296,1.3342786,0.6593921,1.4531373,1.2607939,1.216773,0.16852224,0.19384843,1.1257074,0.73951745,0.9358888,0.9334624,0.677902,1.2382162,1.1082581,1.3849224,0.77155936,0.87505066,1.355906,1.2805316,1.2859223,1.1732996,1.3773552,0.36273688,0.5901339,0.7917571,1.3019805,0.5778054,1.3746783,1.5083086,0.6405032,0.5589613,0.9172522,1.3410101,0.7025122,1.3305591,0.8550234,0.330989,1.274828
crib,1.0757171,1.3167351,1.3916323,0.8276324,1.3766508,1.1115803,1.0433179,0.7736058,0.56925875,0.5041625,0.50819266,0.8131544,0.94632864,0.7394458,0.8599798,1.3789148,1.081268,0.75852245,1.3010545,0.96259165,1.0647261,1.1724563,0.67670023,0.5351142,1.4110959,0.6874884,0.52264154,1.0590259,1.4080288,0.0,1.3769853,0.6639472,1.0834016,0.62705654,0.861724,1.20739,0.99600303,1.3033273,0.99774337,0.93782526,1.354485,1.0137609,1.228714,0.89163375,1.3569803,1.1759373,1.1024897,0.97243327,1.0212473,1.0174048,1.2510446,1.0766736,0.89980906,1.3449372,0.9345535,1.0328832,0.56345683,1.2057904,0.93049794,1.0006138,0.98059994,1.1852196,1.45838,1.1001842,1.3847244,1.2747343,0.57457924,1.2308856,0.77712727,0.8467181,0.989272,1.2411356,1.327702,0.98015875,1.2599219,0.89447165,1.1272159,1.2782664,0.65449274,0.89311177,0.52827567,1.1709869,1.0555733,0.84482217,0.90105295,0.8668041,0.98703665,0.76649785,1.4697683,1.2572107,1.1834984,0.961158,1.3627722,0.7455018,0.51866245,1.2823288,1.4837191,1.1333674,0.8548034,1.154676,0.6336681,0.9060966,1.3428607,0.65723854
cup,0.97723603,0.7992824,0.52048147,1.4178051,0.42672205,0.9881457,1.1282314,1.1581547,1.4857553,1.4808538,1.4180722,1.4664161,1.1044202,1.4954946,1.3154372,0.120391905,0.82322866,1.1507717,0.845061,0.9461091,0.5391268,0.53496504,1.245256,0.8741726,0.2671771,1.279352,1.4436855,1.2204509,0.27275896,1.3769853,0.0,1.2695031,1.0472754,1.2004187,1.0901903,0.9076016,1.0523207,0.96124834,0.97283894,0.98940486,0.8795381,1.004772,0.6810299,1.1270182,0.6854601,0.9235249,1.0700412,1.2248867,1.1192356,1.3190835,0.68931687,0.7044045,1.1501969,0.25862932,1.1764456,1.2996075,1.4239066,0.6871357,1.2370762,0.93893486,1.3051896,1.0873301,0.5267493,1.0980242,0.55090946,0.9717084,1.2290175,0.6971718,1.4641174,1.2954638,1.245543,0.5057205,0.47038078,1.129752,0.705268,0.8807373,0.85331315,0.58818084,1.3833421,0.98452014,1.278459,0.6671566,0.97780484,1.3232023,1.3570375,1.3219279,1.0845525,1.3113997,0.484002,0.3989331,0.8589068,1.2069209,0.65360916,1.4129114,1.4781053,0.5964757,0.596246,0.89659667,1.3256462,0.6793307,1.3294616,0.8011574,0.2782749,1.2060966
dog,0.9469159,1.2473428,1.2656155,0.9349473,1.1935269,1.1017628,0.89497346,1.0064659,0.8797272,0.8634808,0.89014345,0.9089316,0.8621214,0.857162,0.809157,1.2561212,1.0701079,0.9698365,1.0705441,1.050915,1.3123535,1.227056,0.037199736,1.0572996,1.2263297,0.9909657,0.87602055,1.0417373,1.3228862,0.6639472,1.2695031,0.0,0.89840084,0.98236734,1.0079172,1.1352997,0.99296194,1.2585411,1.0200957,0.9098617,1.2839277,1.0907747,0.949905,0.9792089,1.1370722,1.0918541,0.9735697,0.8362741,0.92685753,1.038092,1.1397227,1.0013156,0.96960217,1.2123015,1.0850693,1.0575935,0.8214794,1.1222684,0.99102145,1.0012907,1.0364811,1.0476176,1.3214436,1.0440632,1.1447165,1.2141414,0.97722435,1.1713586,0.85756457,1.01643,0.85875565,1.2404968,1.2528933,0.9675575,1.2968363,0.9565717,1.0702873,1.085897,0.99744874,0.98435897,0.89936197,0.63770765,1.007551,0.87966317,0.918534,1.0397613,0.9998862,0.9322189,1.3772483,1.2532078,1.2365685,0.8917718,1.1986302,0.8816727,0.6767174,1.1553401,1.2161961,1.1167417,0.9542742,1.0317687,0.9022471,1.1429297,1.1885729,0.94459945
doll,0.9864715,0.9376762,0.80714333,1.08997,0.919661,0.84770966,0.91580015,0.9331227,1.2897859,1.154055,1.1199486,0.8868192,0.92910004,1.0080918,0.85128087,1.065213,1.1372458,0.9354754,0.97819674,0.9360595,1.0427289,1.0678513,0.9054712,1.185387,0.8999138,1.2778459,1.1344835,0.9978363,1.0787004,1.0834016,1.0472754,0.89840084,0.0,1.2157131,1.1015462,0.80271304,1.1423317,0.87870896,0.93200815,1.0427748,0.96699923,1.1609312,0.86419547,0.95733356,0.84467506,0.8682407,0.70671254,0.9661608,1.1031077,0.8329537,0.87108886,1.0175612,0.972309,0.9999458,1.1012559,1.1159985,1.0774336,1.0946915,0.9867722,1.118895,0.92190146,0.8998293,0.9217818,0.9640733,0.9808622,0.8337106,1.254811,1.139253,0.97860605,1.1528426,1.066114,1.0517906,0.9953531,1.0781306,1.0065066,1.0419401,0.9763254,0.8718692,0.9951931,1.019198,1.234557,0.70382583,0.96409035,1.0798504,0.87334895,1.0821934,1.2168562,1.0670775,0.94859385,1.0511214,1.069905,1.0685146,1.0252844,0.9520741,0.9947473,0.96609944,0.8691367,1.0492914,0.99528736,0.4999014,1.1830562,1.0694724,0.9662567,1.0744877
door,1.1097118,1.1817307,1.3167676,0.86200297,1.3278399,1.1988325,1.2255206,1.0410484,0.6236356,0.7436709,0.7070291,0.97570586,1.1165192,0.98083526,1.0093315,1.2362273,1.1927748,0.9350767,1.2665627,1.2338355,0.914811,1.1892505,0.9540445,0.6171976,1.1944829,0.35142565,0.6210673,0.98453075,1.252826,0.62705654,1.2004187,0.98236734,1.2157131,0.0,0.8261539,1.2588985,0.79791,1.1260829,0.99123454,1.0971378,1.1578354,1.0793159,1.292464,1.0510454,1.1673064,1.3588043,1.3104488,0.8459719,1.022453,1.0111381,1.1655785,1.1675689,0.92482424,1.2492837,0.75054437,0.8473724,0.61422557,1.0116986,1.0809958,0.93917567,1.1278758,1.0955799,1.2924851,1.2533078,1.248047,1.2341204,0.2161274,1.2162799,0.83079237,0.55740845,1.0594096,1.1818105,1.2177266,0.96890897,1.1028934,0.9763378,1.2190729,1.1640332,0.8383767,1.0846958,0.2186045,1.1889573,1.1825901,0.74276644,1.0731317,0.75945497,0.8509908,0.98846346,1.2358499,1.122644,1.0914769,1.0454996,1.1749094,0.74006855,0.6928195,1.2696277,1.3043842,1.0133606,1.0857116,1.3392646,0.96664953,0.7493074,1.197314,0.28988838
drawer,0.65492433,1.218478,1.2398131,0.9666013,1.142741,1.098524,0.96362644,0.9101954,0.9353292,1.0854498,0.7959964,1.1196158,0.84759766,1.1354846,1.0214674,1.0237873,0.9834944,0.91793245,1.0389746,0.88992965,0.9573239,1.018413,1.0176361,0.85754013,1.1362184,0.8365098,1.0360503,1.0214604,1.0463082,0.861724,1.0901903,1.0079172,1.1015462,0.8261539,0.0,1.1096514,1.1156425,1.1762589,1.0253487,0.8949879,1.0989264,0.8747618,0.8328457,0.9629186,1.1334348,1.0591769,1.009469,1.135075,1.0843796,1.0085427,1.009027,1.0478791,1.1456221,1.057468,1.176899,1.0460663,0.9481779,0.7138185,1.1433331,0.712681,1.0336578,1.1453419,1.1956904,0.99262595,0.87620765,1.1315871,0.83185995,0.8297155,1.1052482,1.1690948,0.9598572,0.9520555,0.99258465,1.0187323,1.0061238,0.87406075,0.9953777,1.1525421,0.9403493,0.8766993,0.7696137,1.1124438,0.9897522,1.1517652,0.97252166,1.1018925,0.8982234,1.0785522,1.1326522,1.0796772,0.9523599,1.0611554,0.9122329,1.1826334,1.000103,0.9199642,1.1552607,1.0511119,0.99465996,1.0262291,0.79954475,0.9440853,1.1018432,0.8332905
egg,1.0292966,0.89963967,0.69056726,1.1688519,0.65391344,0.56990695,0.8862617,1.119834,1.2484667,1.268961,1.2174215,1.1622648,1.0087984,1.2087425,1.1342952,0.87243307,0.9245574,1.1006858,0.8488441,0.98987865,0.9847155,0.8991696,1.152582,1.1267307,0.9264092,1.2392478,1.2532145,0.88038427,0.87102556,1.20739,0.9076016,1.1352997,0.80271304,1.2588985,1.1096514,0.0,1.151447,0.7645848,1.1401327,0.93611395,0.7970512,1.0366446,0.8387133,0.8682536,0.8780353,0.8749937,0.8286023,1.1570318,1.1394019,0.91299117,0.80593723,0.8546481,1.2094891,0.94991213,1.0936034,1.2068391,1.2520559,0.92345136,1.0739747,0.9560228,1.0944185,0.9695744,0.67942953,0.8928424,0.77416956,0.17670494,1.2933762,0.86250794,1.1580275,1.2288071,0.950215,0.9207521,0.9381909,1.1314173,0.9260607,1.0049112,0.9726956,0.9414554,1.2729386,0.90589446,1.3006341,0.9430492,0.94650024,1.2005126,1.0206876,1.1371566,1.0659257,1.156865,0.8697244,0.8989029,0.8921936,1.0854373,0.90092576,1.1874871,1.2347398,0.8204816,0.66003907,1.03543,1.011492,0.7894273,1.1324911,1.0218053,0.86149436,1.2182717
elephant,1.0880572,0.9317878,1.0515934,0.98005897,1.0691648,1.1697688,1.1596,0.94997144,0.9896244,0.83597565,0.9406154,0.98249435,0.85521305,0.85525423,1.0555414,1.0780896,1.1486006,1.1402572,1.1378261,1.175594,1.0486599,1.0657238,0.97579294,0.9400271,0.9526235,0.9460937,0.9443584,1.0208951,0.99470544,0.99600303,1.0523207,0.99296194,1.1423317,0.79791,1.1156425,1.151447,0.0,1.0352076,0.83435863,1.183839,1.0349582,1.0369925,1.0184321,1.2075286,0.99361014,0.9949969,1.2958882,0.9752062,1.0065769,1.1304716,1.0531409,1.0247412,0.8812919,1.0770895,0.8447715,0.61839646,0.89741516,1.042627,1.0221469,1.073171,1.028354,0.955733,1.047471,1.017957,1.057599,1.1807926,0.9509126,0.90223724,0.9840489,0.83858764,1.081235,1.0406139,1.0618243,0.89275163,0.91533923,1.1480815,1.0556113,1.0358803,0.95631754,1.060386,0.95660555,1.0292089,1.049283,0.9431134,1.0741506,0.99579453,1.0210823,1.0797368,0.9524023,1.079688,1.077694,1.1188468,1.1098278,0.9059427,1.0356591,1.0404943,1.0740106,0.9046014,1.0398817,1.1483083,1.0525666,0.9514081,0.95375377,0.90560174
finger,1.105546,0.24094844,0.59439325,0.94070834,0.9661185,0.93109405,1.2306905,1.2518594,1.2874811,1.2826366,1.3002539,1.0276951,1.0324649,1.2257102,1.2538164,1.083498,1.309402,1.2278317,0.92732537,1.3447461,0.98796844,1.0398843,1.2232649,1.3754393,0.70622736,1.1133744,1.2013769,0.87354547,0.8200004,1.3033273,0.96124834,1.2585411,0.87870896,1.1260829,1.1762589,0.7645848,1.0352076,0.0,0.95406926,1.3054831,0.34275633,1.2768197,1.0009019,1.0767772,0.4774649,0.9783098,1.0703195,0.8420458,1.156848,0.6015489,0.674842,1.1099302,0.888703,0.9093682,0.64368737,0.8389911,1.129814,1.1289406,1.0702316,1.2953888,1.0816642,0.44048768,0.33595192,1.1508262,0.7127907,0.47411048,1.1365223,1.0557405,1.2337968,0.844202,1.2131927,0.9744321,0.8371488,1.0430483,0.84484756,1.229052,1.210365,0.6561306,1.1901404,1.2478937,1.2349656,0.9178848,1.3275133,0.9417545,1.2099335,0.8471429,1.1947361,1.2212645,0.33441842,1.0093263,0.77285236,1.1956036,0.96762455,0.99476063,1.3046327,1.093682,0.337519,0.9030143,1.2306406,1.2182477,1.4650347,0.9934021,0.89713275,1.1256669
fish,0.94116044,0.9157581,0.8585036,1.0087507,1.0896031,1.044144,1.174564,0.9491261,1.0775795,1.0279268,1.0981687,0.9420329,0.9475673,0.8488546,0.97106224,1.0413678,1.175721,1.1503136,1.1710672,1.041218,0.8946609,0.79290545,1.0282806,0.9775126,0.9859479,1.0657456,0.982048,1.0496691,0.8856309,0.99774337,0.97283894,1.0200957,0.93200815,0.99123454,1.0253487,1.1401327,0.83435863,0.95406926,0.0,1.1046638,0.8647664,1.2033004,0.9586527,1.1461593,1.0338895,0.89019597,0.91433954,1.0792835,1.103108,1.0570087,1.077181,0.9347157,0.7678776,0.9097945,0.93386054,1.042161,0.96545273,1.1004181,0.97138417,1.2512066,0.78454226,0.94850916,1.0647895,1.1008128,1.0232002,1.1168416,1.0289891,1.0794075,0.8158347,0.8827384,1.1350629,0.8387606,0.84070814,0.93288946,0.67982006,0.94822997,1.0059391,1.072917,0.895715,1.2433547,1.0514227,1.0817239,1.130338,1.0165861,0.7065858,0.8869154,1.1287354,1.1538264,0.8293942,0.9556158,0.9696986,1.0954572,1.1149961,0.975709,0.97542226,1.0904269,1.0586936,0.99270076,0.9647848,1.0274069,1.0921386,1.0327877,1.0664767,0.91171587
flower,0.87078226,1.2736028,1.2095294,1.1563021,1.0380505,0.99330217,0.77234447,0.9768798,1.0443779,1.1173803,1.0831723,1.1740655,1.0295603,1.1120282,0.9803954,0.9025979,0.87159884,0.8448912,0.9932575,0.7556351,0.95636505,0.96607506,0.9357284,0.96262974,1.062315,1.0954318,1.1074198,1.0139972,1.0175589,0.93782526,0.98940486,0.9098617,1.0427748,1.0971378,0.8949879,0.93611395,1.183839,1.3054831,1.1046638,0.0,1.2819731,0.7280993,0.85010755,0.90197265,1.162652,1.0992274,1.0094527,1.0921987,0.98901874,1.1416448,1.0480134,0.86516213,1.114636,1.027439,1.247984,1.2563207,1.1145011,0.84566927,1.0372573,0.8644425,1.0793709,1.1957841,1.2676951,0.99857587,1.0914289,1.0650147,1.0668849,0.923641,1.0360003,1.252213,0.8650739,0.9966604,1.0910335,0.9921923,1.1926286,0.1403926,1.0673909,1.0743237,1.0664083,0.7584951,1.0461696,0.9935925,0.9295023,1.1258914,0.93290627,1.2427113,1.0270641,0.97106683,1.2886292,0.93662924,0.9387809,0.8921789,0.9575277,1.1745534,0.9403108,1.0230498,1.2482585,1.0988883,0.919182,0.90657437,0.83922076,1.0584942,1.0099019,1.000601
foot,0.98706424,0.40171957,0.67850375,0.8883447,0.9645453,1.0220234,1.1238449,1.1392468,1.3856688,1.3872771,1.2374989,1.1493411,0.9235487,1.3020056,1.3293364,0.9501843,1.2514987,1.1987786,0.87820345,1.2271415,0.75709903,0.917502,1.260613,1.1533567,0.78645784,1.2169962,1.2235426,0.96974313,0.7558035,1.354485,0.8795381,1.2839277,0.96699923,1.1578354,1.0989264,0.7970512,1.0349582,0.34275633,0.8647664,1.2819731,0.0,1.2161788,0.905221,1.0882393,0.64866024,0.81682837,0.9929295,1.0442849,1.1468195,0.6985272,0.80040133,1.0153503,0.9434081,0.8820008,0.6979063,0.83528745,1.2180873,1.0465217,1.1133577,1.285696,0.9462665,0.6537476,0.5244375,0.99243116,0.6141199,0.588223,1.1699246,1.0153483,1.2041671,0.85389763,1.1763363,0.83893013,0.70993894,1.0487555,0.5557801,1.174583,1.1508332,0.7793939,1.1167059,1.256334,1.2729971,0.97129613,1.2571077,1.0704656,1.0617849,0.7851949,1.1960189,1.2780544,0.27566642,0.8285886,0.6417074,1.2244997,0.9051393,1.1744529,1.3167424,1.0095648,0.26908416,0.9857611,1.067214,1.1550689,1.3964839,0.83019114,0.92054766,1.1300368
fork,0.814728,1.2461118,1.2942655,1.0677655,1.0728871,1.090832,0.81801635,0.84419966,1.0375497,1.1254029,0.9647849,1.1914467,1.0234544,1.0948033,0.8800225,0.92053545,0.74270326,1.0017824,0.8646995,0.8678778,0.94661355,1.0470102,1.1112427,0.94422716,1.1417923,0.99576473,1.2095913,1.0367098,0.95376205,1.0137609,1.004772,1.0907747,1.1609312,1.0793159,0.8747618,1.0366446,1.0369925,1.2768197,1.2033004,0.7280993,1.2161788,0.0,0.90112406,0.93986154,1.1520298,1.0698829,1.0669461,1.1320734,0.88854736,1.0956419,1.0950425,0.8760329,1.2199501,1.0526057,1.2752798,1.0736178,1.1749804,0.7697353,1.0750817,0.7436836,1.1103917,1.1382811,1.2718265,0.8764446,0.9676266,1.109861,1.036151,0.7226206,1.0554205,1.3039399,0.6525344,0.93962216,1.0102767,0.9193313,1.1580642,0.89288026,1.0158131,1.0929958,0.99051917,0.77082026,0.97867244,1.0986872,0.7251587,1.2446208,1.0927137,1.2016655,0.87452006,0.9812963,1.2508981,0.9737231,0.9261572,0.64369285,0.7037071,1.2029588,1.1112989,0.9148321,1.2191833,1.006432,0.9377056,1.039621,0.68612427,0.9928747,1.1145691,1.0735607
frog,0.5474642,0.9844405,0.83666134,1.2889957,0.6465513,1.0564704,0.9113822,1.0657973,1.4912786,1.4407849,1.2960641,1.2052758,0.64571047,1.3599693,1.001102,0.57767045,1.047044,1.1496837,0.7579937,0.9999876,0.87495685,0.7327958,1.0493038,1.0903826,0.6273116,1.2673928,1.4585631,1.1788285,0.5945154,1.228714,0.6810299,0.949905,0.86419547,1.292464,0.8328457,0.8387133,1.0184321,1.0009019,0.9586527,0.85010755,0.905221,0.90112406,0.0,1.1299875,0.7918136,0.88619643,0.87931484,1.2058616,1.1850226,1.1807487,0.79777944,0.593305,1.0610926,0.7138471,1.2492635,1.1891413,1.3722429,0.62053317,1.2430438,0.9174607,1.1427441,1.0635834,0.79413253,0.97225386,0.58042353,0.9478648,1.4311342,0.6837263,1.3055011,1.3745885,0.9938073,0.72260445,0.62998617,1.0930235,0.8018668,0.8369276,0.9840094,0.79012173,1.3282584,1.0542381,1.4077806,0.6665759,0.81989884,1.3292421,1.1295214,1.3405311,1.224162,1.3846312,0.75382185,0.7743145,0.90884423,1.1625873,0.68172646,1.3638666,1.3926488,0.6508525,0.7370144,0.9458217,1.200733,0.58360964,1.2126222,0.9442038,0.71526325,1.2183714
