category,n_exemplars,k,effective_k,mean_knn_dist,std_knn_dist,median_knn_dist,mean_bv_to_bv_centroid,n_bv,local_rank,global_rank,rank_shift_local_minus_global,embedding
stroller,166,5,5,19.4878455598323,6.182686417714788,18.618008174144705,5.059943353485163,9463,15.0,35.0,-20.0,clip
glass,145,5,5,19.689699292323763,4.693588750732848,19.3951897379933,4.98572552064308,832,14.0,44.0,-30.0,clip
jar,155,5,5,20.373155923421848,4.907884806315293,19.85427555872945,5.026332172576758,2155,13.0,38.0,-25.0,clip
slide,187,5,5,20.41463962574928,5.641995930336452,19.725677239477537,5.4166654387146025,5723,12.0,5.0,7.0,clip
tree,108,5,5,20.723713296167084,4.650637192648086,20.307616028219456,5.23143514888877,1929,11.0,15.0,-4.0,clip
butterfly,50,5,5,22.490016099700203,5.664470170487438,22.08645765523569,4.285196278123262,386,10.0,75.0,-65.0,clip
cracker,80,5,5,23.49632370759113,5.028216958504396,22.86416038470941,4.564626199076789,514,9.0,66.0,-57.0,clip
shower,87,5,5,23.517069388723165,5.4448059866998815,23.40420820207639,4.827805667678528,296,8.0,56.0,-48.0,clip
pony,60,5,5,23.67338046832365,5.384237664981448,24.449109706250624,5.126303609802096,244,7.0,27.0,-20.0,clip
bird,91,5,5,24.71276849238808,4.971374983893715,24.443379384806025,4.993079125601032,375,6.0,43.0,-37.0,clip
rock,30,5,5,25.269446022181704,6.714787930850708,26.77693273656723,5.025710443151511,254,5.0,39.0,-34.0,clip
scarf,58,5,5,25.77057847342848,4.777759524926238,26.41255049320707,5.093972862428737,338,4.0,30.0,-26.0,clip
stick,33,5,5,25.77349370014268,3.566786531244293,24.950821373480924,4.931064432588233,79,3.0,48.0,-45.0,clip
swing,24,5,5,26.616457931435964,4.713392913657046,25.38346538252132,5.758598150721414,223,2.0,2.0,0.0,clip
dish,64,5,5,27.11098876781752,4.4276944773379725,26.93520424129632,4.035417785612878,986,1.0,78.0,-77.0,clip
hand,266,5,5,7.9705675647395,3.065003800059213,7.288050794829189,11.750608939586526,42061,85.0,43.0,42.0,dinov3
toe,262,5,5,10.54040103078965,4.184291426258122,8.960847650555309,11.402645590256466,22234,84.0,57.0,27.0,dinov3
pillow,265,5,5,11.507185653708005,4.106783605888857,10.568663934509718,11.594724873406088,142943,83.0,49.0,34.0,dinov3
