,alligator,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,comb,couch,crayon,crib,cup,dish,dog,doll,door,drawer,dress,face,finger,fish,flower,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,jacket,knife,ladder,lamp,milk,mitten,nail,napkin,necklace,oven,pajamas,pants,paper,pen,pencil,pickle,pillow,plant,plate,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shower,sink,slipper,snow,soap,spoon,strawberry,stroller,sweater,table,toe,tooth,toothbrush,towel,toy,tray,truck,vacuum,watch,window
can,1.4212866,1.3055646,1.149011,0.7916651,1.3696687,0.7598906,1.2894824,1.4030826,0.75889367,1.1856813,1.403399,0.83946383,1.4071512,1.2970912,0.89882815,0.5024346,1.0377785,0.99870646,1.1471941,1.2341828,0.6190952,0.6728536,0.0,0.9143945,1.2639375,0.7774112,1.0322517,0.4683476,0.9761579,0.90260947,1.3177567,0.5022205,1.2824116,0.7699108,1.0562038,1.034439,1.1257484,0.9353317,0.83509856,1.0781384,1.1512309,1.1396613,0.76502895,0.94600916,0.9793886,1.0827811,1.2701279,0.56892633,1.148458,1.0008378,1.1912018,0.6722771,1.0890682,0.63734233,1.2686723,0.8527276,1.2763289,0.51050687,0.9841758,1.3737464,0.78928506,0.8438402,0.8650565,0.5954458,1.4460729,1.3067181,1.2753706,0.56962466,0.589807,1.0327884,0.8364797,1.1254933,1.0692282,0.9430336,0.58416045,0.8740257,0.8129547,1.2623599,0.95137024,1.3548471,1.1385524,1.1962129,1.2663794,0.5811828,1.1859782,0.79259825,0.67612356,0.62020314,1.250918,1.2775522,1.318276,0.8944764,0.7457253,1.2439132,0.61294436,0.9708332,0.93514407,0.94831544,0.57740724,0.5870908,1.0406905
car,1.1214544,1.4293016,0.76844233,1.0532752,1.0146828,0.8586079,1.1401957,1.2064161,0.9486153,1.0984854,1.2676926,0.8495287,1.1650344,1.1956594,0.964736,0.6622493,1.0931715,1.0562979,1.2968166,1.0267742,0.750867,0.87455016,0.9143945,0.0,1.1221936,0.94716233,1.1903659,0.7214748,1.0164896,0.6592488,1.2359607,0.6904727,1.108358,0.80306995,1.0496253,0.93797404,0.92610914,1.0882508,1.0786872,1.1282846,1.1358647,1.217927,0.6954117,0.8221435,0.9750467,0.81838685,0.8352816,0.8422432,0.90033793,0.85634685,1.1221346,0.857557,1.2607203,0.6939306,1.0938839,0.973977,1.1201525,0.7050377,1.0795276,1.0722882,0.9258421,0.9176911,1.0563726,0.8619412,1.2247832,1.132193,1.1965868,0.6471208,0.75487465,1.1077585,1.1428782,1.0880312,1.0903219,0.7869407,0.77503115,1.1450436,1.0527133,1.1147165,1.002073,1.3224361,0.9969273,1.1832876,1.1593075,0.73891205,1.0139862,1.0979605,0.9559046,0.8879403,1.1454947,1.1952239,1.1436847,1.1476738,0.7627318,1.085076,0.93578815,0.76385665,1.1891439,0.65498257,1.0085961,0.8370801,0.8877878
carrot,0.6840992,0.73423266,0.90570456,1.0951377,0.8201362,1.1236371,0.80598736,0.9397407,1.1523751,0.9151675,0.76896083,1.0957469,0.879315,0.9845677,1.0392282,1.1737922,1.0389018,0.9696735,0.9467529,1.0418128,1.1818846,1.1561137,1.2639375,1.1221936,0.0,1.168865,1.1824793,1.2537351,0.85481924,1.0647018,1.018601,1.2343501,0.890873,1.1973058,1.0503486,1.0703014,0.93696386,1.0720049,1.1865803,0.92198205,0.90484047,1.1379014,1.1823442,0.9051504,1.0307316,0.9497122,0.9132609,1.1696694,0.9197837,1.0016977,0.9864875,1.2478654,1.0094477,1.1440318,0.81579596,1.0969943,0.9016681,1.2389708,1.0118823,0.80089486,1.2013855,1.2188869,1.1383337,1.1201308,0.7317323,0.99144095,0.7899286,1.2285382,1.2494171,1.1038837,1.1636258,0.94694424,1.0398933,1.1791399,1.2290648,0.96145874,1.0718526,0.6067616,0.9179211,0.8473182,0.8905823,0.8538776,0.81648785,1.2579893,0.93063986,1.2457001,1.0462157,1.1609347,1.0803316,0.9430166,0.78332984,1.1497377,1.2416594,0.86540353,1.1509043,1.0152794,0.91423994,1.1151923,1.17403,1.2551996,0.87384486
cat,1.0631227,1.135234,1.1684811,1.0459534,1.2333858,1.2117122,1.2467477,1.1327784,0.634933,1.1356221,1.1136695,1.1200873,1.1059691,0.9604266,1.2280266,0.9689201,1.1424015,1.359019,1.1872994,1.0696954,0.8429479,0.78922534,0.7774112,0.94716233,1.168865,0.0,0.81812006,0.81682277,0.85135454,0.5313817,0.97469056,0.83492863,0.98029995,0.8689617,1.0959394,0.5186026,1.0438871,0.9906846,0.8906599,1.1808144,1.1828934,0.9474248,0.84360445,1.0814615,1.0912296,1.0771357,0.9818257,0.637737,0.99932826,1.2067097,1.1034865,0.79990554,1.0417343,0.83129406,1.1963935,0.9552291,0.8961056,0.7579536,1.2204381,1.1200628,0.8473169,0.7299756,1.0822234,0.8030533,1.1495063,0.9621991,1.3125474,0.8239408,0.91328555,1.120992,0.27287412,1.2114894,1.1181048,0.74056697,0.8851358,1.1535892,0.5646062,1.250083,1.1535165,1.1597846,1.1345077,0.98169756,1.2205749,0.5132083,0.99189925,0.85786366,0.9713717,0.83847743,0.9840637,1.2509432,1.2882699,0.7665061,0.7011565,1.1255193,0.7439168,1.2323092,1.0545149,1.0551695,0.8086812,0.7141564,0.91763395
chair,0.96891415,0.8119899,1.2412889,1.0933489,1.1520219,1.1398607,1.1265037,0.62521464,0.9159635,0.79325974,1.0406059,1.1505558,0.6527207,0.70112395,1.1884683,1.2128478,1.0801388,1.1245406,0.96805555,0.75761616,1.0201924,1.1148757,1.0322517,1.1903659,1.1824793,0.81812006,0.0,1.1828791,1.0338783,1.0837567,0.39571857,1.2692853,0.74734795,1.1895082,1.0860393,0.8100598,0.90678203,0.7151052,0.8716266,0.9719167,1.0387481,1.0214136,1.1689537,1.1528218,1.2555394,1.2073654,0.92352206,1.1210974,0.8962962,1.3718517,0.903733,1.1402369,0.97535825,1.1833813,0.91295576,1.1172016,0.9629587,1.1058987,1.0812858,0.91181326,1.1206806,0.93494326,0.93872505,0.9041122,0.8591738,0.9828976,1.199575,1.2009724,1.2081727,1.1643056,0.5328543,0.84056175,1.1010059,0.92310226,1.0180978,0.83162177,1.0072256,1.0139079,1.2231909,0.8176858,0.9643644,0.74443674,1.1228908,1.0495863,0.8625379,1.0994692,1.1386098,1.0871605,0.3438995,1.0215759,1.1195062,1.040855,1.1524084,1.1799747,1.0244211,1.1425494,1.128669,1.0231419,0.9339651,1.1485987,0.91384023
clock,1.4335897,1.4815838,1.0602807,0.8464842,1.3708773,0.7706873,1.2858804,1.4150016,0.91267186,1.3656183,1.3862351,0.66452646,1.4631479,1.432586,0.9958668,0.33598256,0.97935396,1.124955,1.2093203,1.2024003,0.66157424,0.42555106,0.4683476,0.7214748,1.2537351,0.81682277,1.1828791,0.0,0.9036658,0.85855407,1.3479602,0.3943448,1.3509367,0.6734166,0.98797005,0.9476037,1.1602927,0.9265214,1.0776232,1.1379801,1.0783592,1.2636241,0.40305167,0.84507656,0.901778,0.96094656,1.2289376,0.42903447,1.210247,0.931343,1.1440711,0.7396531,1.195854,0.3975476,1.3105183,0.7979267,1.2561651,0.23994243,1.106116,1.4880028,0.7608571,0.85712206,0.99673223,0.9008484,1.4924037,1.3625727,1.3236544,0.45804268,0.5490024,1.0402906,0.94444805,1.1566858,0.9885639,1.0779749,0.46530366,1.1094735,0.88855594,1.2830735,0.99751025,1.3603731,1.1771144,1.2760987,1.2563406,0.43051338,1.1048111,0.8538679,0.6984832,0.50936496,1.3458297,1.1509424,1.3253831,1.0453849,0.7368064,1.2662419,0.6243912,0.91482663,1.0556953,0.9236787,0.7085462,0.49895966,1.1041644
closet,1.2188014,1.0560602,1.0900813,1.0709736,1.1892143,1.0052181,0.9463739,1.2080145,1.0955424,0.8922264,1.0610971,0.9501963,1.1298251,1.1770201,1.128463,1.0090412,0.90021026,1.0627127,1.119273,1.033941,1.0127277,0.946483,0.9761579,1.0164896,0.85481924,0.85135454,1.0338783,0.9036658,0.0,0.83879375,1.1985841,0.9859083,0.8870218,0.97475284,0.7942623,1.0455029,1.299206,0.64223665,0.8570534,1.096566,1.0909002,1.1355873,0.9412217,1.0678872,0.84871745,1.1944491,1.0393492,0.9142219,1.2208278,1.1327425,1.1866106,1.046445,1.0251447,1.0834066,1.0118979,0.8588868,0.87768614,0.7687042,1.1263077,1.3226062,1.1359993,0.9626707,1.1243753,0.7897858,1.0988147,0.943131,1.0764416,1.0474515,1.1142299,1.1096036,0.8633168,1.0021124,0.8344504,1.0718505,0.9805298,1.0563217,0.83804,0.93039924,0.90049934,1.1348858,1.1402357,0.899452,0.90338707,1.0440332,0.8608178,1.010803,0.7753185,1.0584222,1.2327167,1.0758041,1.037825,1.1503512,0.8573847,1.023743,0.8652819,1.1700583,0.7644735,1.0443014,0.98512405,1.0867716,0.8342252
comb,1.0652233,1.2342355,1.0350294,1.1140977,1.103594,1.0387802,1.1528116,1.229776,0.67715776,1.1888862,1.1988746,0.95400745,1.1638079,1.0579557,1.0684301,0.90794104,1.1507943,1.1991892,1.2763963,1.0302757,0.8204601,0.8961922,0.90260947,0.6592488,1.0647018,0.5313817,1.0837567,0.85855407,0.83879375,0.0,1.1859665,0.63341826,0.9777077,0.75353557,1.0521622,0.98610085,1.1421789,1.0511543,0.86466444,1.282607,1.2524943,1.0253203,0.81059635,1.0388502,0.7505611,0.96812236,0.9604912,0.8741665,0.9489091,0.9341509,1.1531471,0.8862875,1.1705998,0.82898444,1.1611041,0.8013147,0.93269295,0.71689653,1.210728,1.0355186,0.9281735,0.7127968,1.0913367,0.8013335,1.1652446,0.96793944,1.1847193,0.60849637,0.7894267,1.100024,0.6608653,1.2169048,1.0974725,0.80851805,0.85214305,1.2479371,0.7478639,1.2148783,0.8626244,1.2265514,1.0491172,1.061182,1.1501728,0.62269294,1.0228323,0.93825036,1.0429263,0.9702296,1.2395903,1.2333493,1.2021747,0.97679204,0.6458562,0.82289505,0.72773564,1.0269518,1.0262389,1.0751786,0.9489309,0.8127483,0.86076045
couch,0.6689834,0.6061262,1.1259533,1.3107933,0.96872437,1.2477005,0.9048099,0.18885136,1.0889932,0.7775598,0.7496246,1.2779866,0.39404666,0.5592215,1.1984736,1.4507457,1.0576305,1.0059712,0.8277824,0.7309889,1.4274552,1.3273532,1.3177567,1.2359607,1.018601,0.97469056,0.39571857,1.3479602,1.1985841,1.1859665,0.0,1.4972024,0.66020143,1.3343059,1.1026764,0.81834304,0.79690725,0.8705538,1.0598019,1.0054697,0.8191991,1.0747148,1.1833029,1.1967885,1.3613043,1.09451,0.7936853,1.3111919,0.97870415,1.3430817,0.5428599,1.2802025,1.0525911,1.2336442,0.70727336,1.2103702,0.7943479,1.4346621,1.0561041,0.773686,1.2485054,1.1341586,1.1316655,1.0713079,0.49123013,0.8594799,0.9833296,1.3713298,1.3705434,1.2009588,0.78169966,0.9003802,1.0918567,1.034673,1.2381563,0.8533436,1.2538809,0.7532543,1.3365382,0.41804546,1.0754062,0.5487333,0.9128032,1.276888,0.5967767,1.2831278,1.2996645,1.3051305,0.46925575,0.736861,0.838384,1.1827146,1.3459663,1.16155,1.2424097,1.2272284,1.1761796,1.0887961,1.3423475,1.3613393,0.82939136
crayon,1.4250972,1.4295018,1.1104025,0.727749,1.290252,0.7977295,1.3851297,1.532624,0.5603025,1.3360703,1.422096,0.7487958,1.5009013,1.4004251,0.79869795,0.39263213,1.2082402,1.1395091,1.3251967,1.1983311,0.52661383,0.5397404,0.5022205,0.6904727,1.2343501,0.83492863,1.2692853,0.3943448,0.9859083,0.63341826,1.4972024,0.0,1.4834489,0.6928087,1.2045264,1.0912211,1.2147634,1.1220653,0.89287174,1.1771897,1.2311734,1.0406585,0.57856196,0.8970442,0.757746,0.95245886,1.3045013,0.4624111,1.157623,0.76668036,1.2222964,0.56443495,1.1229073,0.40681636,1.2695507,0.714756,1.3127818,0.31517667,1.0750223,1.3785493,0.6311889,0.7725846,0.93141806,0.92538035,1.4782252,1.2639675,1.2334994,0.16049242,0.250171,1.022995,0.9063839,1.2433208,1.2391245,1.0160081,0.6685514,1.1703798,0.78928274,1.3142881,0.653946,1.4185181,1.1178902,1.4096863,1.3895206,0.40036952,1.2347547,0.7882754,0.79697293,0.46805692,1.4202507,1.2941375,1.427849,0.74623793,0.49965018,0.90506756,0.44933486,0.8664218,1.0316375,0.9740771,0.50036067,0.36971962,1.2199916
crib,0.78804827,0.8110352,1.0572058,1.2880905,0.9828499,1.0364393,0.74832666,0.6281234,1.1458695,0.65138197,0.85296786,1.2364098,0.6900934,0.6693523,1.2045664,1.4233431,1.0283196,0.83881915,0.9814223,0.6529257,1.3596019,1.3328727,1.2824116,1.108358,0.890873,0.98029995,0.74734795,1.3509367,0.8870218,0.9777077,0.66020143,1.4834489,0.0,1.235795,0.96878594,1.0259326,1.0516238,0.73702884,0.8991426,1.1263014,1.0045325,1.1609398,1.2242172,1.2332379,1.2056025,1.1690245,0.7025244,1.3555917,1.0071377,1.3330736,0.94000155,1.4181502,1.140831,1.4338348,0.7280533,1.1226616,0.43179047,1.2610134,1.1048974,0.84647393,1.3981502,1.1440479,1.0958004,0.66110426,0.69938475,0.8177058,0.8987386,1.431775,1.4603989,1.210995,1.0066797,0.7347111,0.9810221,0.94681436,1.0991311,0.80095184,1.2596138,0.86603224,1.1447744,0.75551945,1.010094,0.5016877,0.7628016,1.3577096,0.73470664,1.2837373,1.1738684,1.4366194,0.65102625,0.7731931,0.7590561,1.3241713,1.2883004,1.0444762,1.3075683,1.2348969,0.9014313,1.0706582,1.2424839,1.4769485,0.41695106
cup,1.1193546,1.250819,0.93819225,0.87283933,0.9672289,1.0413821,1.0851408,1.3732821,0.85134625,1.2474681,1.2048128,1.0070922,1.3445122,1.1040747,1.1011362,0.5844312,0.6587754,1.2428498,1.1745867,1.2109542,0.46110332,0.89667535,0.7699108,0.80306995,1.1973058,0.8689617,1.1895082,0.6734166,0.97475284,0.75353557,1.3343059,0.6928087,1.235795,0.0,0.5494041,1.043545,1.1464412,1.1589384,0.9821302,1.1742275,1.2063258,0.89295554,0.6391908,0.99008054,0.9235878,0.98653305,0.96845984,0.6865992,1.0623486,0.7127489,1.196303,0.696514,1.0490706,0.6153052,1.30826,1.0196712,1.0851434,0.8299176,0.98120946,1.0410242,0.6718622,0.7881841,1.0496168,0.9385561,1.2761477,0.92409617,1.1995373,0.69611406,0.79010713,0.9082942,0.9563406,1.2882918,0.5898597,1.0265033,0.8452914,1.1765316,0.82775027,1.3273387,1.0583639,1.3051162,1.0495497,1.3066463,1.0367476,0.668881,1.2311287,0.74768853,1.0170751,0.78683615,1.2130114,1.237077,1.1630337,0.7490401,0.7541102,1.0947028,0.83021355,0.8843826,1.0737907,1.1014427,0.9924634,0.57011783,1.1688688
dish,1.1016781,1.0513117,0.81186676,0.98958516,0.92271954,1.0182894,0.5859094,1.0937698,1.2595527,0.9498196,1.07006,1.0386957,1.0899861,1.0943775,1.0791245,1.1383142,0.22612983,0.9633736,0.9853961,0.9853484,1.0713488,1.1341118,1.0562038,1.0496253,1.0503486,1.0959394,1.0860393,0.98797005,0.7942623,1.0521622,1.1026764,1.2045264,0.96878594,0.5494041,0.0,1.160612,1.1327819,0.8631248,0.9798,1.0239798,1.0387669,1.028441,1.0120475,1.0371864,0.88777715,1.0789231,1.0252932,1.123797,1.0882275,0.9787465,1.0763433,1.2113127,1.0070866,1.2346394,1.054781,1.0304681,1.0370598,1.0239626,0.9941499,1.0624858,1.1393756,0.92651474,1.2002484,0.99616975,1.1036848,1.0156693,1.0247866,1.2012907,1.2341428,0.8976823,1.107464,0.99193907,0.06867921,0.97050005,1.0534565,1.1510843,1.0258917,0.98092,1.181687,1.0894877,0.96959156,1.0400647,0.49528813,1.18789,1.052937,0.96725106,0.9321715,1.2806721,1.0624328,0.95432353,0.674495,1.2191291,1.1134825,1.1587609,1.0557959,0.92540395,0.86968875,1.0998719,1.1964242,1.1874555,0.98508006
dog,0.8391018,1.1491611,1.0513518,1.0137709,1.0753821,1.1089906,1.2916434,0.958318,0.99124503,1.0242501,0.89946383,1.0009851,0.9270199,1.0179436,1.0898074,0.930498,1.1018395,1.2221711,1.1144884,0.9712217,0.9318183,0.8422322,1.034439,0.93797404,1.0703014,0.5186026,0.8100598,0.9476037,1.0455029,0.98610085,0.81834304,1.0912211,1.0259326,1.043545,1.160612,0.0,0.7030062,0.99603784,1.1240185,0.8831265,0.97927046,1.0886765,0.97211426,0.86866605,1.1614338,0.88263935,0.9904037,0.88016707,0.8339468,1.0934312,0.8615468,0.93424857,0.99892205,0.8976192,1.1144024,1.1568837,0.9917874,0.9505629,1.0132363,0.959487,0.9338218,0.90078413,0.9527207,1.1241051,0.98494714,0.9824341,1.2078382,1.060187,1.089371,1.0316402,0.7512023,1.0852311,1.1520053,0.8735991,0.93873423,0.9854206,0.9525492,1.0977719,1.1392086,1.0445441,0.97612286,0.99577045,1.2951063,0.85591507,1.0008534,0.9538533,1.0582237,0.8611739,0.784307,1.1741762,1.2473521,0.9159622,1.0255251,1.0987188,1.0092839,0.9740235,1.2350545,0.85642594,0.90540516,0.9366375,1.0381671
doll,0.91074216,1.0090494,0.92977476,1.0865597,0.97113043,1.0967234,1.1788487,0.83697915,0.9513923,0.9855792,0.7464481,1.0494429,0.8087947,0.89218694,0.81979597,1.0701292,1.0803206,1.047363,1.0216995,1.0349041,1.0097781,1.1050687,1.1257484,0.92610914,0.93696386,1.0438871,0.90678203,1.1602927,1.299206,1.1421789,0.79690725,1.2147634,1.0516238,1.1464412,1.1327819,0.7030062,0.0,1.1482196,1.1761006,0.74197286,0.83540857,0.97245246,1.1175508,0.79094416,1.1725016,0.8486838,0.8178325,1.1262133,0.7503309,1.0493227,0.7348286,1.0398972,0.9248698,1.0630226,1.067095,1.151986,1.0541335,1.2137549,0.9515243,0.81557107,1.0259552,1.0844591,1.0118393,1.1874118,0.8033639,0.8669447,1.0275689,1.180676,1.1073111,1.0615171,0.9817437,1.0848905,1.1299567,0.85748017,1.0521041,0.91857237,0.9839278,0.99965143,1.100332,0.8370443,0.824165,1.1042998,1.2036977,1.0630705,0.8722039,1.1285222,1.1510125,1.0203727,0.7446453,1.0100094,1.089786,0.99974036,1.1586347,1.0163088,1.1925611,0.92848474,1.2001469,0.8620373,1.1726998,1.144628,1.0334857
door,1.1720982,1.0206255,1.097803,1.1256136,1.2330254,0.9476339,0.9866311,0.9807003,1.1722989,0.7674761,1.0931867,1.0618557,1.0195147,1.0685148,1.0672543,1.0709504,0.9380793,0.84200954,1.0996591,0.59237164,1.0934242,1.1129364,0.9353317,1.0882508,1.0720049,0.9906846,0.7151052,0.9265214,0.64223665,1.0511543,0.8705538,1.1220653,0.73702884,1.1589384,0.8631248,0.99603784,1.1482196,0.0,0.80684084,0.9665863,0.9741101,1.1450675,1.10679,1.1002686,1.0172514,1.2237092,0.8921501,1.1087608,1.1402081,1.3297383,0.9832169,1.2490697,1.0243291,1.2095935,0.9140755,0.9072122,0.8994194,0.7951075,1.0434872,1.2338711,1.2829974,1.1027776,0.96473247,0.6820699,1.0964379,1.1707878,1.0773972,1.17827,1.1868067,1.1545029,0.9192258,0.8310146,0.89848644,1.0365001,0.9808209,0.72301877,1.0380992,0.9456763,1.1540221,1.0063877,1.1168761,0.61508214,0.96146417,1.201021,0.96742547,1.1079156,0.97112,1.161668,0.84978783,0.9598918,1.0165223,1.263418,1.1917555,1.2143636,1.0479646,1.1346778,0.879353,0.9507599,0.91598576,1.223343,0.7759721
drawer,1.1689873,0.97342825,1.1248724,1.0562955,1.0911319,1.0668993,1.0391097,1.1245182,0.72819054,0.7781194,1.0568386,1.0430385,1.0525781,0.82774895,0.88972974,1.1952438,1.067813,0.9870452,1.0005317,0.97845745,0.99644125,1.1007149,0.83509856,1.0786872,1.1865803,0.8906599,0.8716266,1.0776232,0.8570534,0.86466444,1.0598019,0.89287174,0.8991426,0.9821302,0.9798,1.1240185,1.1761006,0.80684084,0.0,1.108103,1.1777537,0.91056776,1.1321338,1.2429857,0.87603724,1.1437573,1.0509475,1.0821012,1.1630235,1.0937622,1.223692,0.9373526,0.97959906,1.154671,0.96621937,0.8755373,1.0308188,0.9612087,1.0283079,1.0736485,1.128891,0.85240936,0.79300815,0.6529368,1.119959,0.94506735,0.9417695,0.9355333,0.8535316,0.9906591,0.77654374,0.95924675,1.0090351,0.8812394,1.0744417,0.8054909,0.9099604,1.1840885,0.8902012,1.1424105,1.1082968,0.9824966,1.0278729,1.0245974,1.0882676,0.93136036,0.90551126,1.1746513,1.0238928,1.122367,1.0939025,0.9453796,0.7338803,0.9887235,0.9753469,1.2273937,0.83270574,1.0702276,0.9762657,1.027163,0.8083079
dress,1.0080198,1.0437049,1.0063789,0.9244759,0.89593744,1.0697405,1.1067926,0.94920295,1.0881885,0.8386051,0.7540088,1.041607,0.82880247,1.0820683,0.89320946,0.9777908,1.0179455,1.0069739,0.916489,0.96025085,1.0214498,1.0564659,1.0781384,1.1282846,0.92198205,1.1808144,0.9719167,1.1379801,1.096566,1.282607,1.0054697,1.1771897,1.1263014,1.1742275,1.0239798,0.8831265,0.74197286,0.9665863,1.108103,0.0,0.9385671,1.167033,1.1575083,0.8454965,1.160307,0.9544355,0.9331002,1.1391444,0.8756466,1.0015849,1.0035864,1.1403066,1.0446526,1.1375723,0.91127485,1.1298791,1.1306511,1.1169537,0.69703555,0.9185531,1.1825086,0.95328623,0.9252502,1.1116788,0.8865841,1.0471933,0.96383893,1.1736717,1.1521811,0.7805077,1.0431393,0.94839203,1.0221461,0.9299769,1.1514335,0.75992894,1.0719662,0.8934387,1.093868,0.9919879,0.86077684,0.94646686,1.1227493,1.1235163,1.1060894,0.81534827,1.0828494,1.0599751,0.9441779,0.99276805,1.0686371,1.1126153,1.1743598,0.9684916,0.97862995,0.9028363,1.0880594,0.8413449,0.9639126,1.2082983,1.1116234
face,0.827902,0.88494945,0.9280809,1.2394046,0.9415273,1.0803081,0.9883942,0.87599635,1.261597,0.9237772,0.71888816,1.0549582,0.9753723,1.004126,1.0552607,1.0960108,1.0106374,0.9587078,0.91964126,0.9440082,1.2591379,1.1383111,1.1512309,1.1358647,0.90484047,1.1828934,1.0387481,1.0783592,1.0909002,1.2524943,0.8191991,1.2311734,1.0045325,1.2063258,1.0387669,0.97927046,0.83540857,0.9741101,1.1777537,0.9385671,0.0,0.94469255,1.1063248,1.0303901,1.1377753,0.9818909,0.9514388,1.0961461,1.0311546,1.1617794,0.4493606,0.9892408,0.82596356,1.0031375,1.0077084,1.0613045,1.016373,1.1706297,0.9447845,0.9422811,1.0592659,1.3391964,1.1841067,1.2038779,0.8239824,1.1499197,0.9497304,1.203513,1.1952122,1.0886006,1.2333755,0.9505242,1.0354902,1.2393296,1.0991381,0.92432284,0.8945756,0.9036163,1.2074016,0.7198956,1.1124233,1.0244869,0.9725015,1.2128029,0.8956734,1.1196749,1.0884758,1.0541527,0.901503,0.5160891,0.91944844,1.0465484,1.2011031,1.1160598,1.3223637,1.0288022,1.0471982,1.0137634,1.1469797,1.1047717,1.0302967
finger,0.89461243,0.7232477,1.0115005,0.9585847,0.86788964,1.1778392,1.0441457,1.1127375,0.9599997,1.0454311,0.9670073,1.1543866,1.1011637,0.8115707,0.99814767,1.1762546,0.88446796,1.1115084,0.96517557,1.0777177,0.9779709,1.0637984,1.1396613,1.217927,1.1379014,0.9474248,1.0214136,1.2636241,1.1355873,1.0253203,1.0747148,1.0406585,1.1609398,0.89295554,1.028441,1.0886765,0.97245246,1.1450675,0.91056776,1.167033,0.94469255,0.0,1.089001,1.1743746,0.79793626,1.1079228,1.0610075,1.0612005,0.99407357,0.89584583,0.9884794,0.71919966,0.40072924,1.0231252,1.1841882,0.95490336,1.0553403,1.233861,1.043044,0.8460366,0.6001411,0.9077513,0.9891995,1.2154789,0.98769915,0.77873635,0.881155,1.0623391,0.86735046,0.8555419,0.97064316,1.1941987,0.94681156,1.1130275,1.2425747,1.1827193,0.7814713,1.1274117,0.9226404,0.9922227,1.03844,1.16653,1.0250268,1.0934343,1.187672,0.85891056,1.1448512,0.90368026,0.9651135,0.99951404,1.0235914,0.42186022,0.8432256,0.7385129,1.0440425,1.148141,1.0197161,1.152074,0.9289783,0.80992514,1.3097459
fish,1.1794116,1.3149326,1.1573513,1.0669565,1.1697882,1.0646347,1.1999304,1.2441273,0.99137706,1.3261642,1.3136218,0.6761986,1.3344023,1.2555788,1.1254535,0.45779407,1.0104593,1.2981578,1.266627,1.128813,0.75640965,0.4268487,0.76502895,0.6954117,1.1823442,0.84360445,1.1689537,0.40305167,0.9412217,0.81059635,1.1833029,0.57856196,1.2242172,0.6391908,1.0120475,0.97211426,1.1175508,1.10679,1.1321338,1.1575083,1.1063248,1.089001,0.0,0.86740947,0.984687,0.9310502,1.0990499,0.5290215,1.2555467,0.9694815,1.0551819,0.67558897,1.1795294,0.46758562,1.2325252,1.0105973,1.1378961,0.5211714,1.0438379,1.3455358,0.6560433,0.8020154,1.0700566,0.9909048,1.3290186,1.1722078,1.326698,0.52809304,0.66621685,0.9331243,1.0045307,1.1802928,1.0109161,1.1625898,0.75617194,1.2016273,0.91730607,1.1796223,1.0806425,1.2216611,1.2500479,1.1935734,1.1940625,0.46651423,0.9553362,0.7951979,1.0020524,0.59371287,1.2259736,1.0905381,1.250754,0.9080164,0.6148101,1.101542,0.7357301,1.0070693,1.1930636,1.0384502,0.82510823,0.5645501,1.0754124
flower,1.1152443,1.3001094,0.865988,0.82681173,0.98599315,0.866464,1.2533604,1.1490507,0.96457374,1.0676191,1.1205302,0.7882304,1.0384998,1.3161724,0.9041248,0.6465111,1.0665987,1.0266554,1.144944,1.1032784,0.8242535,0.7534337,0.94600916,0.8221435,0.9051504,1.0814615,1.1528218,0.84507656,1.0678872,1.0388502,1.1967885,0.8970442,1.2332379,0.99008054,1.0371864,0.86866605,0.79094416,1.1002686,1.2429857,0.8454965,1.0303901,1.1743746,0.86740947,0.0,0.9912191,0.83781123,1.0765022,0.91073203,0.9286106,0.83128726,1.1131173,1.0056496,1.0251082,0.8096075,0.96054804,1.0059401,1.213418,0.82719785,1.0402975,1.0870818,0.8356754,1.022495,0.9446514,1.2007289,1.1316048,1.2357597,1.153413,0.90897244,0.9563267,0.9204432,1.0907153,0.68467456,1.0723035,0.9481935,0.8633207,0.9095,0.8783219,0.79750204,0.8827974,1.2706455,0.9688651,1.2115698,1.2502909,0.8979352,1.0085343,0.9443775,1.0085238,0.75026727,1.1682408,1.1965277,1.2314614,1.1045482,0.97689456,1.0312319,0.85619104,0.7742231,1.189286,0.9041827,0.8333616,0.95529246,1.0750242
