subject_a,subject_b,n_common_categories,n_rdm_pairs,pearson_r,pearson_p,spearman_rho,spearman_p
00320001,00820001,129,8256,0.8881866103655416,0.0,0.8766041726986712,0.0
00320002,00320003,127,8001,0.841946242453761,0.0,0.8200694458931199,0.0
00320002,00340002,92,4186,0.6177626008846272,0.0,0.592489230722981,0.0
00320002,00350001,100,4950,0.6212860667520189,0.0,0.5899253719534336,0.0
00320002,00350002,111,6105,0.6629511021545146,0.0,0.6254804781992658,0.0
00320002,00360001,129,8256,0.7937026820127835,0.0,0.7664849099847201,0.0
00320002,00370001,129,8256,0.8313379734641215,0.0,0.8086360742894342,0.0
00320002,00370002,129,8256,0.86808764852904,0.0,0.8470722718713134,0.0
00320002,00390001,121,7260,0.7332336631277356,0.0,0.702542145882705,0.0
00320002,00400001,129,8256,0.8514270526347373,0.0,0.8232641432181552,0.0
00320002,00400002,128,8128,0.8543248486505615,0.0,0.8328917194560529,0.0
00320002,00400003,128,8128,0.8390199468508757,0.0,0.8101269259975762,0.0
00320002,00420001,129,8256,0.8402359053195246,0.0,0.8164670574509612,0.0
00320002,00430001,129,8256,0.8292424074393349,0.0,0.8068855863953386,0.0
00320002,00430002,102,5151,0.6511871339211143,0.0,0.6072647588096672,0.0
00320002,00440001,116,6670,0.7170605346568506,0.0,0.6884610605851382,0.0
00320002,00460001,122,7381,0.7320290491079372,0.0,0.6738156094112013,0.0
00320002,00490001,126,7875,0.8001925236772321,0.0,0.7803491448511349,0.0
00320002,00500001,129,8256,0.8542345268732225,0.0,0.8237141022067379,0.0
00320002,00510001,129,8256,0.8420499674464454,0.0,0.818755312736476,0.0
00320002,00510002,128,8128,0.8210476249690447,0.0,0.8012164870016113,0.0
00320002,00550001,119,7021,0.7587442009153142,0.0,0.7239695442023517,0.0
00320002,00560001,129,8256,0.864279503753929,0.0,0.8400781477165083,0.0
00320002,00590001,128,8128,0.7295114196072217,0.0,0.6989563686037655,0.0
00320002,00680001,126,7875,0.7199804415422316,0.0,0.6923567086101983,0.0
00320002,00720001,129,8256,0.806006053713667,0.0,0.7649179733865483,0.0
00320002,00820001,129,8256,0.8781020309102028,0.0,0.8591780943180493,0.0
00320003,00340002,91,4095,0.5988233099202959,0.0,0.5673862502007538,0.0
00320003,00350001,100,4950,0.6199350667507849,0.0,0.5872940768081234,0.0
00320003,00350002,111,6105,0.6748882015800765,0.0,0.6395558778510425,0.0
00320003,00360001,127,8001,0.7946062660960904,0.0,0.7669622822781369,0.0
00320003,00370001,127,8001,0.843872621187179,0.0,0.8179299974172188,0.0
00320003,00370002,127,8001,0.8298963518451523,0.0,0.8070058618875467,0.0
00320003,00390001,119,7021,0.7293883003589442,0.0,0.6953735806188416,0.0
00320003,00400001,127,8001,0.8315789022336606,0.0,0.8073271890360745,0.0
00320003,00400002,126,7875,0.8406314497096207,0.0,0.8202981538790473,0.0
00320003,00400003,126,7875,0.8061996743598351,0.0,0.7783749629471253,0.0
00320003,00420001,127,8001,0.8424780480001605,0.0,0.8252616689284749,0.0
00320003,00430001,127,8001,0.7799078571536974,0.0,0.7467975097058133,0.0
00320003,00430002,101,5050,0.6499933519760479,0.0,0.5982023583005115,0.0
00320003,00440001,115,6555,0.7300452458220407,0.0,0.7093208838636857,0.0
00320003,00460001,121,7260,0.7288206791077361,0.0,0.6776052592710666,0.0
00320003,00490001,125,7750,0.8122804017282894,0.0,0.789789237421485,0.0
00320003,00500001,127,8001,0.8565968717390097,0.0,0.8406469512871126,0.0
00320003,00510001,127,8001,0.8143412159212674,0.0,0.7959271610200189,0.0
00320003,00510002,126,7875,0.7578348723287928,0.0,0.7293200724538768,0.0
00320003,00550001,119,7021,0.6996854520230718,0.0,0.6649716875804774,0.0
00320003,00560001,127,8001,0.8482621692086687,0.0,0.8267626040387167,0.0
00320003,00590001,126,7875,0.7756088053686407,0.0,0.7567676559639075,0.0
00320003,00680001,124,7626,0.7222961840313454,0.0,0.6925694788110801,0.0
00320003,00720001,127,8001,0.7698249922180266,0.0,0.7323785454789284,0.0
00320003,00820001,127,8001,0.8373099237039294,0.0,0.8176376745240014,0.0
00340002,00350001,82,3321,0.5126397122511074,4.893149481277372e-222,0.4432241574204354,7.332768573014756e-160
00340002,00350002,87,3741,0.5183472696864121,2.213884873611832e-256,0.48086362686207296,8.506075314690098e-216
00340002,00360001,92,4186,0.6220356537051223,0.0,0.580641085602512,0.0
00340002,00370001,92,4186,0.5886692346774075,0.0,0.5442225714847411,0.0
00340002,00370002,92,4186,0.6273576524967385,0.0,0.5890086749691932,0.0
00340002,00390001,92,4186,0.5742001506651242,0.0,0.532116685184134,8.378273377166803e-305
