category,mean_bv_to_things_centroid,std_bv_to_things_centroid,mean_bv_to_bv_centroid,std_bv_to_bv_centroid,corr_dist_things_vs_dist_bv,n_bv,n_things
cat,17.919804815981596,3.964755780207415,11.792585069204828,5.405409218009455,0.9166443663324804,265,12
fork,17.882713140535646,3.9371113589744478,12.397419331750164,5.0740831922020275,0.9203657445004331,253,12
basket,17.613139450084155,3.4872675548177816,11.401867769019166,4.138359889532115,0.9400931611860278,266,12
purse,17.45937416721585,4.088845516183294,12.350164398992048,4.740121285737043,0.9403423489144709,266,11
scissors,17.314148540263375,4.377197629464097,13.057002600261221,5.1642930062380925,0.9747786224289515,265,14
frog,16.974569302896803,2.926769167085485,10.561002497503386,3.9083213125721477,0.8952113626489341,265,15
cup,16.935619817099724,2.2216456710014056,7.4852887289650525,2.8844554080744182,0.5825206293531465,266,14
toothbrush,16.763640031371736,4.4821332095419235,12.415790733977989,5.385209312604614,0.9582585191410407,263,12
slipper,16.64365196358448,1.8375909773250851,7.18074280748735,2.2992649127261746,0.3091785888860452,266,12
vacuum,16.59701238844858,2.968212803934648,10.672107046821502,3.832820945547833,0.8974961689344976,265,13
spoon,16.589799443772282,4.1218468272254425,11.467242571154102,5.220882830058354,0.9383901597120082,257,13
fish,16.43685899074192,4.436959025211777,11.435686191463832,5.523742992641521,0.9198681618339277,263,12
sink,16.346286894269237,4.2434689210420045,11.387229464169687,5.184248566834222,0.9740940087673409,266,15
can,16.339573592444836,2.6341536552319575,8.225644583081888,3.3072566327062485,0.7982153357037578,266,11
knife,16.20285860194478,3.596012945542062,11.429735305973605,4.500081893111763,0.9107908058398553,264,14
plate,16.201220918258674,3.3705424610724672,10.967257080855408,4.03347161654102,0.9260332127006622,266,13
gum,15.804696750914188,2.9988619015368005,9.43034846361599,4.273756323489996,0.9708339078095349,265,10
bowl,15.586672923975646,2.207976622866389,9.265457541872994,3.321673905061395,0.8854404113280684,266,11
hat,15.530716309857794,2.197264428254764,7.844668960263013,2.7408811591722757,0.6441813525720455,266,17
towel,15.155975970423851,2.9829857012140937,9.220821038154062,3.9585126162708706,0.9411252472330903,266,16
toy,15.15486447846068,2.3836635319117137,7.912160156216306,3.0941575626909636,0.9063636435300959,266,9
napkin,14.920112630230165,2.549813033808359,9.220877414212241,3.332724323371827,0.9081038517951007,266,13
bucket,14.738182281230266,2.480263838634699,8.85826354420079,3.2526659324050806,0.8740005946842916,266,12
glove,14.209378143801617,2.469482105336057,8.899569243794263,3.527152485552803,0.9738009462482032,265,16
pillow,14.03719355400513,1.8502277524032469,8.410640019927218,2.777196029597941,0.9175710590581214,266,12
chair,13.801060745498999,1.426665900204007,7.587423713477938,2.1943165952708994,0.8361998776738911,266,9
