category,n_exemplars,k,effective_k,mean_knn_dist,std_knn_dist,median_knn_dist,k_used
chips,84,5,5,30.712457429570648,5.803899948451268,28.854660686428197,5
dish,152,5,5,30.830462515567433,6.006284551961578,30.624597132599675,5
pig,107,5,5,30.948288453561155,6.98553387445498,29.752199756973397,5
penguin,89,5,5,31.070201155746705,7.183979610085464,29.678713956869625,5
zebra,49,5,5,31.64643933588103,6.391834412218161,31.843206407444484,5
deer,83,5,5,32.14591289408704,5.9325541923553295,31.45424293750109,5
applesauce,94,5,5,32.27599167857549,6.986669095062528,31.357085090537396,5
swing,55,5,5,32.86941090910921,8.23024118883331,31.76158356602341,5
tricycle,53,5,5,33.67477413699198,5.934227304771321,33.71751303724416,5
firetruck,86,5,5,34.043775951349225,6.33392585154106,33.98851277916122,5
sandwich,81,5,5,34.586663485374295,6.37717595557091,33.10421615101321,5
giraffe,53,5,5,35.45246109462838,8.314709440180224,34.61688449850918,5
duck,45,5,5,35.54529386660656,6.019707224299136,34.32350031795143,5
pastry,54,5,5,37.869921343886304,7.670842036590869,36.509954609531434,5
helicopter,41,5,5,40.49648147613181,5.83246622677367,39.70826311074676,5
toast,9,5,5,41.16064530184584,5.634660548868114,39.57503154455378,5
pasta,11,5,5,41.68732843202576,3.9384876250038534,41.356954619606185,5
game,32,5,5,47.407945881861814,4.373314508316493,47.34497085971962,5
crayon,266,10,10,4.673554198931685,1.5365480107914673,4.269412602596238,10
hand,266,10,10,5.75988462670418,1.8930544236007045,5.3073113725261365,10
toe,264,10,10,6.078656359619038,2.5997648000903038,5.25683379848604,10
slipper,266,10,10,6.482349560285948,1.653506403183563,6.194675114987303,10
bottle,266,10,10,6.69679167495203,1.9854810425521268,6.32060219644201,10
cup,266,10,10,6.773912413329851,2.0011655289713115,6.3343262170044214,10
glasses,266,10,10,6.817232089592769,2.357534328419132,6.292796210029709,10
chair,266,10,10,6.828982967811489,1.8064790963332038,6.617034961623104,10
nail,263,10,10,7.397323570565255,2.7676435992716257,6.397966327030928,10
toy,266,10,10,7.410744381431961,2.574362824870898,6.6870361286799325,10
pillow,266,10,10,7.4578426207495,2.301849289366585,6.85719573739382,10
can,266,10,10,7.488583283441279,2.4600716443306747,6.994925077385994,10
finger,263,10,10,7.513977988469346,3.70626823619294,6.4462698851985065,10
hat,266,10,10,7.528187140259438,2.128587306987443,7.0162807923671355,10
watch,264,10,10,7.716290804502927,2.468380762607397,7.1380670568412805,10
book,266,10,10,7.753899683231113,2.924168287673654,6.95270018093964,10
lamp,266,10,10,7.791592736894551,2.3881557119415255,7.39136565786501,10
pen,265,10,10,8.333237142788237,3.0317816545804828,7.431047859927867,10
bowl,266,10,10,8.530665168216524,2.435395510069304,7.919819409214434,10
napkin,266,10,10,8.61364907968885,2.532445948241089,7.97972056782542,10
towel,266,10,10,8.620386033179074,3.026970798484517,7.892007101933393,10
door,265,10,10,8.636182462990758,2.7734887532711476,7.845332087027846,10
bucket,266,10,10,8.729031527403802,2.633128594181006,7.835240144101647,10
glove,265,10,10,8.909888775125989,2.9003915302884127,8.245934260338542,10
gum,265,10,10,9.338567849439535,3.6629790453262543,8.298580787531815,10
pencil,265,10,10,9.441938293849713,3.9907328451922712,8.295631391776602,10
couch,266,10,10,9.496341736948098,2.8592495061254706,8.895000294183983,10
cat,265,10,10,9.517119584447324,4.030968802022235,8.213451910425755,10
sink,266,10,10,9.938710890609103,3.9285941586821878,9.154647771873453,10
bed,266,10,10,9.9978205661501,3.6139968581401494,9.260117455811116,10
box,266,10,10,10.178820082242034,3.32637795567793,9.385534115744782,10
refrigerator,264,10,10,10.206684590552534,3.468575759814073,9.409761028254032,10
belt,262,10,10,10.29613271606854,4.418014634860432,9.109963069554638,10
bench,266,10,10,10.297786713890464,3.167586039251376,9.449613966787682,10
vacuum,265,10,10,10.342449128955062,3.1381013355403558,9.574912622571462,10
plate,266,10,10,10.411638096397146,3.1926637167860648,9.531351901089131,10
frog,265,10,10,10.443129938619562,3.3363171204852486,9.702223504646941,10
necklace,261,10,10,10.459328569607417,3.972356674116751,9.488019992678584,10
apple,265,10,10,10.63669833696943,3.7457240215353482,9.535633597214998,10
knife,264,10,10,10.72914949739144,3.6384052031588414,9.792408296655505,10
blanket,266,10,10,10.831564100652992,4.115792500018182,9.759966287968304,10
fish,263,10,10,10.881002504931006,4.537715376728195,9.599142885322934,10
crib,265,10,10,10.920520099668904,3.413836984864457,9.926815241753001,10
table,266,10,10,10.968556937806074,3.133187337540873,10.155590909197269,10
oven,260,10,10,11.08107224797206,4.031039829753792,10.239708726352335,10
basket,266,10,10,11.154143763436679,3.479545958090005,10.347502607898559,10
spoon,257,10,10,11.179003334399823,4.585487829163535,9.898329615039675,10
shirt,266,10,10,11.2499270454422,3.639361694195639,10.26603134427431,10
window,264,10,10,11.394648066877739,4.233090677686417,10.670081042663437,10
pants,256,10,10,11.544942329153983,5.294304785452178,9.927209800074607,10
hair,263,10,10,11.55540963625245,4.225554124588148,10.706983021278564,10
dog,266,10,10,11.643703481352746,3.4685617926555437,10.623737598316321,10
car,265,10,10,11.646792459462558,3.9197626409454482,10.510730271039959,10
jeans,257,10,10,11.671638146467878,4.534939727764479,10.530183573677773,10
balloon,266,10,10,11.818113191849564,3.255897027089304,11.292713994762082,10
toothbrush,263,10,10,11.910908713155214,4.4034472891833385,10.743480379513796,10
fork,253,10,10,11.938123171805746,4.235827661403926,10.697582331749727,10
mitten,264,10,10,12.02640380647654,4.818716118489716,10.711055628972925,10
drawer,262,10,10,12.090082884789807,4.057731767343999,10.78245465059653,10
doll,265,10,10,12.090204977815755,3.627021574220938,11.474770138388708,10
ball,266,10,10,12.11150137484763,3.7924589294550817,11.027956536288084,10
tape,264,10,10,12.241077860226177,4.005352198702517,11.192184140652877,10
purse,266,10,10,12.35661673789836,3.9375083778298365,11.295945569781924,10
bib,266,10,10,12.365858752559884,3.4059374170205663,11.574014494251092,10
bathtub,262,10,10,12.511493318549944,4.474739422649344,11.06213522882464,10
scissors,265,10,10,12.854427597643229,4.16022890049498,12.058186551051739,10
paper,265,10,10,12.95928726829937,4.10724493537111,12.113823980009414,10
banana,260,10,10,12.960227146637045,4.274505940897831,11.700550017146655,10
pajamas,262,10,10,12.979305254646759,4.072509435179897,11.891488031356396,10
orange,254,10,10,13.25742620589954,4.91461392376221,12.044035056861649,10
plant,263,10,10,13.52941089423414,3.6385710499024513,12.86795182542949,10
flower,266,10,10,13.539249879553587,3.605537324697432,12.950333140748345,10
egg,246,10,10,13.559557828547183,4.310913934971276,12.703155960165493,10
shoe,262,10,10,13.831948514295707,5.0086629058067995,12.720315955000423,10
bread,257,10,10,14.03854340711132,4.941153208315921,12.776829664361362,10
alligator,260,10,10,14.04039493271299,5.23632143768156,12.602143314186804,10
clock,262,10,10,14.16471898595816,5.128248981588879,12.976735570437906,10
ladder,259,10,10,14.186267010597977,4.574637814530116,12.955215782175262,10
arm,256,10,10,14.626479541281887,6.193070372098545,12.930725830933792,10
carrot,235,10,10,14.817406175921075,5.239329247455302,13.5757036494933,10
shovel,248,10,10,14.826301531273488,5.892488022999453,12.865509310404303,10
tray,264,10,10,14.885588169862784,4.556086468519477,13.791449993239482,10
shorts,232,10,10,14.956726024362878,6.54589922982675,12.585232553040314,10
tooth,244,10,10,15.044042098568518,6.311470604050605,12.894077515402632,10
sweater,255,10,10,16.226411615511516,6.193422303495363,14.474338339309009,10
sock,250,10,10,16.25857828917343,5.714399845545615,14.783365337480124,10
radio,251,10,10,16.28336433083948,5.621008369074806,14.674844944409434,10
soap,213,10,10,16.591319666380187,5.07032902477231,15.263511435019993,10
nose,211,10,10,17.201316927662752,5.158573756025419,15.835721554488995,10
foot,215,10,10,17.506149417093766,6.30308263057448,15.880501506503913,10
jacket,249,10,10,18.31653483744433,6.252806154507065,16.737495304130988,10
cracker,248,10,10,18.671709904027335,6.57951680067298,16.51851639326442,10
glass,251,10,10,18.719711633586925,7.060577879240536,16.354998947288962,10
strawberry,201,10,10,18.88576233714091,5.88509102290571,17.13728763371643,10
stroller,243,10,10,19.1927360159241,6.890370839027114,16.990106453790972,10
ear,183,10,10,19.28178562833286,5.556510191130045,18.42129843381364,10
pumpkin,238,10,10,19.43830252829421,6.229977680463279,17.641169299110068,10
comb,234,10,10,19.630659527283495,7.25238537348108,17.497295705814473,10
ankle,199,10,10,19.69300898187972,5.270751516630676,18.27038563407109,10
face,248,10,10,19.812511014681235,6.623444646262447,18.14261962038921,10
pickle,204,10,10,19.938553861718006,6.308682712499363,18.527820521257176,10
broom,196,10,10,20.210380144021325,6.842026981890664,18.98561924262711,10
rooster,247,10,10,20.228367599766685,6.666652631259333,18.258378095791546,10
slide,245,10,10,20.3575807071612,6.539423538488522,18.728030553041656,10
melon,232,10,10,20.727970083853013,6.10900822400339,19.204710108339512,10
mouth,150,10,10,21.056570218005167,6.282074984651182,20.214234461701075,10
muffin,209,10,10,21.3470208665939,6.644231708868058,19.613672105603108,10
closet,233,10,10,21.354241961373283,6.901981556654089,19.474980191898506,10
jar,212,10,10,21.754037938544826,6.650380390518703,19.941588490901005,10
dress,228,10,10,22.27433839754972,7.681556970128196,19.86869014599995,10
pizza,225,10,10,22.600032850163664,7.1992480393867,20.570540682472846,10
eye,107,10,10,22.62724474967302,5.306107017313433,21.120944547730396,10
raisin,111,10,10,22.82248559781219,5.595691425723212,21.9371179676481,10
motorcycle,216,10,10,22.99129856947113,7.611828306278592,21.364443861780373,10
bird,227,10,10,23.023104523766055,6.7705366673471,21.209721168847288,10
potato,62,10,10,23.403932499254353,6.320703987203539,22.53988641238272,10
coffee,189,10,10,23.688637365245587,6.50694010696483,22.112549989230935,10
grass,149,10,10,23.77644702392563,8.207871655101819,22.421894082967526,10
sprinkler,216,10,10,23.898031389451607,7.228161530179286,22.467059050971763,10
horse,222,10,10,23.942847749805075,6.689336052912862,22.206709195381258,10
shower,185,10,10,24.066619481409987,7.009563726307843,22.216571448964945,10
soup,171,10,10,25.031676740558673,6.851995778689483,24.077833464909368,10
leg,117,10,10,25.07119302501217,6.1809853897592895,23.51333108737317,10
snow,183,10,10,25.178279077752787,7.524030585605134,22.842694460301054,10
owl,221,10,10,25.277891929874098,7.45197533367134,23.45392726245341,10
butterfly,186,10,10,25.278738667412313,7.023867847954699,24.550131413308108,10
hose,204,10,10,25.32021718805969,6.580681711898878,24.343855753007013,10
boat,218,10,10,25.4128280247652,7.7078664848340575,23.849569134923602,10
cookie,177,10,10,25.433508584530635,7.129743177758712,24.24689096951581,10
tree,186,10,10,25.744568191093034,8.105696675262266,23.912874333203597,10
scarf,202,10,10,25.83055655727676,7.537502804566843,23.393826696870807,10
pony,175,10,10,25.89254458190986,7.666051138111754,24.168795015506042,10
elephant,193,10,10,26.51386970039574,6.5001668174443035,25.679841863077495,10
milk,185,10,10,26.82079051923976,8.1173511109687,24.90859096624127,10
coat,130,10,10,27.295012975243996,7.016496622321639,25.858724060983356,10
truck,147,10,10,27.670234094705027,7.551424944909911,26.103204369389687,10
hamburger,176,10,10,28.46465452881488,7.770838898564926,26.59654406443257,10
corn,113,10,10,28.98176811257818,6.608507561516948,27.255836131878738,10
rock,108,10,10,29.68434641170805,6.607126594792131,29.108546565463712,10
sauce,84,10,10,30.045104804539637,6.243033014704869,29.27130993743931,10
mop,49,10,10,30.34013933431024,7.3619132785852495,29.434022473518972,10
meat,154,10,10,30.72511919122852,6.736167811381348,29.788412488270758,10
bear,102,10,10,31.255278235490984,7.380587503808515,30.59753034016061,10
stick,79,10,10,31.771691294544407,5.253265894306893,31.509512175264668,10
chips,84,10,10,31.95934342333335,5.6698692209450385,30.25860322621739,10
dish,152,10,10,32.0904912326468,5.819300406978119,31.889011167351665,10
pig,107,10,10,32.39373167319104,6.92552785778144,31.39798837344398,10
penguin,89,10,10,32.56039418254911,7.0936152559800645,31.07642844256163,10
applesauce,94,10,10,33.59971080266863,6.953474018359627,32.71651105966866,10
deer,83,10,10,33.89102690039505,5.759737134597429,33.04957944789594,10
zebra,49,10,10,34.175774732832075,5.751086290466544,34.22939192639323,10
swing,55,10,10,34.545150587376085,7.708718156708422,34.11459154509937,10
cloud,13,10,10,35.06150272669133,5.907155602880677,32.369800161590774,10
firetruck,86,10,10,35.722753509864965,6.014488887099881,35.7821750725004,10
tricycle,53,10,10,35.776874972542416,5.747931313189458,35.678981743494646,10
sandwich,81,10,10,35.9960023657388,6.245639363465918,34.588173936648666,10
duck,45,10,10,37.7986802036332,5.77017039543233,36.3082610612552,10
giraffe,53,10,10,38.60454567164965,7.46828099723485,37.19252212647662,10
pastry,54,10,10,39.8748959528326,7.4602372008355555,38.55633689938005,10
helicopter,41,10,10,43.256124786757205,5.131871502384601,42.124608655700925,10
toast,9,10,8,45.56797400399344,5.131005975180338,44.63352498897018,10
pasta,11,10,10,49.42178991577478,3.3834150875845044,50.04816301326296,10
game,32,10,10,49.9727383643647,4.108670737208651,50.02648502877575,10
