subject_id,category
00400002,cup
00400002,can
00400002,belt
00400002,radio
00400002,basket
00400002,bucket
00400002,tape
00400002,bowl
00400002,plate
00400002,banana
00400002,bread
00400002,cracker
00400002,glass
00400002,tray
00400002,box
00400002,book
00400002,paper
00400002,comb
00400002,toothbrush
00400002,gum
00400002,toy
00400002,doll
00400002,mitten
00400002,glove
00400002,shoe
00400002,purse
00400002,pillow
00400002,towel
00400002,napkin
00400002,blanket
00400002,dress
00400002,pajamas
00400002,bib
00400002,scarf
00400002,jacket
00400002,sweater
00400002,shirt
00400002,jeans
00400002,pants
00510002,pony
00510002,horse
00510002,rooster
00510002,bird
00510002,fish
00510002,butterfly
00510002,frog
00510002,alligator
00510002,owl
00510002,cat
00510002,dog
00510002,face
00510002,hair
00510002,arm
00510002,hand
00510002,foot
00510002,finger
00510002,toe
00510002,tooth
00510002,nose
00510002,stroller
00510002,motorcycle
00510002,truck
00510002,car
00510002,lamp
00510002,chair
00510002,bench
00510002,drawer
00510002,ladder
00510002,window
00510002,door
00510002,closet
00510002,shower
00510002,refrigerator
00510002,oven
00510002,crib
00510002,bed
00510002,couch
00510002,table
00510002,bathtub
00510002,sink
00510002,boat
00510002,slide
00510002,sprinkler
00510002,clock
00510002,ball
00510002,balloon
00510002,pumpkin
00510002,egg
00510002,orange
00510002,apple
00510002,potato
00510002,strawberry
00510002,hat
00510002,slipper
00510002,watch
00510002,nail
00510002,glasses
00510002,necklace
00510002,carrot
00510002,vacuum
00510002,broom
00510002,stick
00510002,shovel
00510002,scissors
00510002,spoon
00510002,fork
00510002,knife
00510002,pencil
00510002,pen
00510002,crayon
00510002,plant
00510002,flower
00510002,soap
00510002,bottle
00510002,cup
00510002,can
00510002,belt
00510002,radio
00510002,basket
00510002,milk
00510002,jar
00510002,bucket
00510002,tape
00510002,bowl
00510002,plate
00510002,pickle
00510002,banana
00510002,melon
00510002,bread
00510002,cookie
00510002,cracker
00510002,pizza
00510002,hamburger
00510002,muffin
00510002,meat
00510002,sauce
00510002,soup
00510002,glass
00510002,coffee
00510002,dish
00510002,tray
00510002,box
00510002,book
00510002,paper
00510002,comb
00510002,toothbrush
00510002,gum
00510002,toy
00510002,doll
00510002,mitten
00510002,glove
00510002,sock
00510002,shoe
00510002,purse
00510002,pillow
00510002,towel
00510002,napkin
00510002,blanket
00510002,pajamas
00510002,bib
00510002,coat
00510002,jacket
00510002,sweater
00510002,shirt
00510002,jeans
00510002,pants
00510002,shorts
00430001,rooster
00430001,fish
00430001,frog
00430001,cat
00430001,dog
00430001,face
00430001,hair
00430001,hand
00430001,finger
00430001,car
00430001,lamp
00430001,chair
00430001,bench
00430001,ladder
00430001,window
00430001,door
00430001,refrigerator
00430001,oven
00430001,bed
00430001,couch
00430001,table
00430001,bathtub
00430001,sink
00430001,clock
00430001,ball
00430001,balloon
00430001,egg
00430001,orange
00430001,apple
00430001,hat
00430001,slipper
00430001,watch
00430001,glasses
