annotator,initial_object_name,total_frames,correct_labels,incorrect_labels,mean_iou,mean_iou_correct,mean_iou_incorrect,precision,n,prevalence_bin
Mira,finger,3,3,0,0.9998488920929919,0.9998488920929919,NA,1,14305,Medium (40-60%)
Mira,head,3,3,0,0.9999640370203042,0.9999640370203042,NA,1,6171,Medium (40-60%)
Mira,kitchen,3,3,0,0.9999831708350971,0.9999831708350971,NA,1,50158,High (60-80%)
Mira,oven,3,3,0,0.9999421460403953,0.9999421460403953,NA,1,130063,Very High (80-100%)
Mira,pasta,9,9,0,0.9999403033927352,0.9999403033927352,NA,1,337,Very Low (0-20%)
Mira,room,3,3,0,0.9999858371759335,0.9999858371759335,NA,1,110240,Very High (80-100%)
Mira,scarf,3,3,0,0.9999390443171149,0.9999390443171149,NA,1,2685,Low (20-40%)
Mira,sneaker,3,3,0,0.9998706754613281,0.9998706754613281,NA,1,34785,High (60-80%)
Mira,stroller,8,8,0,0.9998979029204402,0.9998979029204402,NA,1,31576,High (60-80%)
Mira,sweater,4,4,0,0.9999693591003547,0.9999693591003547,NA,1,20415,Medium (40-60%)
Mira,toast,10,10,0,0.9999276968446591,0.9999276968446591,NA,1,1904,Low (20-40%)
Mira,tree,5,5,0,0.9999725086964404,0.9999725086964404,NA,1,19881,Medium (40-60%)
Mira,stone,8,7,1,0.9999500790080107,0.9999486313022378,0.9999602129484214,0.875,138,Very Low (0-20%)
Mira,street,7,6,1,0.9999761712718943,0.9999750193726655,0.9999830826672668,0.8571428571428571,7106,Medium (40-60%)
Mira,mouth,6,5,1,0.9998849669461829,0.9998887029673115,0.9998662868405401,0.8333333333333334,606,Very Low (0-20%)
Mira,cat,5,4,1,0.9999388231413001,0.9999254247222819,0.9999924168173733,0.8,60004,High (60-80%)
Mira,food,4,3,1,0.9999439262593974,0.9999302193616741,0.9999850469525674,0.75,13147,Medium (40-60%)
Mira,leg,4,3,1,0.999878270223919,0.999847572419938,0.9999703636358616,0.75,1458,Low (20-40%)
Mira,lip,4,3,1,0.9998502014509986,0.9998272821612719,0.9999189593201784,0.75,6341,Medium (40-60%)
Mira,pajamas,4,3,1,0.9999575192567697,0.9999574298557741,0.9999577874597565,0.75,28028,High (60-80%)
Mira,shorts,4,3,1,0.999952590206242,0.9999436558789156,0.9999793931882215,0.75,11659,Medium (40-60%)
Mira,sock,4,3,1,0.9998782624763627,0.9998707270293169,0.9999008688175001,0.75,12227,Medium (40-60%)
Mira,window,4,3,1,0.9999676908048208,0.9999661319111375,0.999972367485871,0.75,173141,Very High (80-100%)
Mira,ankle,3,2,1,0.999862686079648,0.9998866231060903,0.9998148120267633,0.6666666666666666,2118,Low (20-40%)
Mira,blanket,6,4,2,0.9999659106470978,0.9999620383826371,0.9999736551760192,0.6666666666666666,140851,Very High (80-100%)
Mira,dress,3,2,1,0.9999501394923033,0.9999422759040663,0.9999658666687773,0.6666666666666666,7296,Medium (40-60%)
Mira,flower,3,2,1,0.9998134094551226,0.99978774893383,0.999864730497708,0.6666666666666666,180970,Very High (80-100%)
Mira,garden,3,2,1,0.9999817616850432,0.9999813834245446,0.9999825182060403,0.6666666666666666,2649,Low (20-40%)
Mira,paper,3,2,1,0.9999411603949744,0.9999352417488732,0.9999529976871767,0.6666666666666666,74036,High (60-80%)
Mira,pig,6,4,2,0.9998658677734418,0.9998872523490978,0.9998230986221298,0.6666666666666666,704,Very Low (0-20%)
Mira,sauce,3,2,1,0.9998623052754224,0.9998953708374356,0.9997961741513962,0.6666666666666666,1875,Low (20-40%)
Mira,shower,3,2,1,0.9999648602164136,0.9999557255212581,0.9999831296067244,0.6666666666666666,1448,Low (20-40%)
Mira,slide,6,4,2,0.99993190480453,0.9999647888443887,0.9998661367248127,0.6666666666666666,26222,High (60-80%)
Mira,stove,6,4,2,0.9999411971704681,0.9999234832879932,0.9999766249354178,0.6666666666666666,47268,High (60-80%)
Mira,tummy,6,4,2,0.9999134688224207,0.9998921345683318,0.9999561373305983,0.6666666666666666,1112,Low (20-40%)
Mira,corn,5,3,2,0.9999004146214059,0.9998645310341445,0.9999542400022978,0.6,2139,Low (20-40%)
Mira,dryer,5,3,2,0.9999678235084035,0.9999614240056218,0.9999774227625761,0.6,32349,High (60-80%)
Mira,helicopter,5,3,2,0.9998628602342708,0.9998878793410844,0.9998253315740506,0.6,163,Very Low (0-20%)
Mira,jacket,5,3,2,0.9999612544759638,0.9999706728857799,0.9999471268612399,0.6,10938,Medium (40-60%)
Mira,orange,5,3,2,0.999734163509779,0.9996707055754466,0.9998293504112776,0.6,49640,High (60-80%)
Mira,peas,5,3,2,0.999677330491438,0.9996267016686402,0.9997532737256347,0.6,2734,Low (20-40%)
Mira,balloon,7,4,3,0.9998480505933599,0.9998643691831686,0.9998262924736149,0.5714285714285714,76754,Very High (80-100%)
Mira,alligator,4,2,2,0.9999627162689826,0.999960460987517,0.9999649715504481,0.5,23060,High (60-80%)
Mira,bedroom,4,2,2,0.9999868859023051,0.9999893679476968,0.9999844038569135,0.5,4724,Low (20-40%)
Mira,dog,4,2,2,0.9999429030378865,0.9999589318608368,0.9999268742149361,0.5,86724,Very High (80-100%)
Mira,duck,4,2,2,0.9998655273866587,0.9998863046306234,0.9998447501426939,0.5,233,Very Low (0-20%)
Mira,jeans,4,2,2,0.9999488068513552,0.9999508520481868,0.9999467616545236,0.5,28805,High (60-80%)
Mira,ladder,4,2,2,0.9999431223003552,0.999951257866869,0.9999349867338412,0.5,43356,High (60-80%)
Mira,pool,4,2,2,0.9999856405367195,0.9999851790014215,0.9999861020720174,0.5,7952,Medium (40-60%)
Mira,potty,4,2,2,0.9999201570377407,0.9998796847597448,0.9999606293157368,0.5,91717,Very High (80-100%)
Mira,shoe,4,2,2,0.9998957821949488,0.9999092497876934,0.9998823146022042,0.5,46712,High (60-80%)
