class_name,subject_id,age_mo,num_detected,num_frames
alligator,recf7gu6r4Il07n57,11,76,15110
alligator,recf7gu6r4Il07n57,12,84,16144
alligator,recf7gu6r4Il07n57,13,63,12424
alligator,recf7gu6r4Il07n57,14,57,13827
alligator,recf7gu6r4Il07n57,15,136,22847
alligator,recf7gu6r4Il07n57,16,79,25646
alligator,recf7gu6r4Il07n57,17,100,21908
alligator,recf7gu6r4Il07n57,18,24,6247
alligator,recg4IGs01o69MFBP,5,22,3219
alligator,recg4IGs01o69MFBP,6,34,5020
alligator,recg4IGs01o69MFBP,7,33,2858
alligator,recg4IGs01o69MFBP,8,3,2453
alligator,recg4IGs01o69MFBP,9,6,2597
alligator,recg4IGs01o69MFBP,11,11,3863
alligator,recg4IGs01o69MFBP,12,4,2187
alligator,recgZD3W5ubcE1wl5,7,9,1312
alligator,recgZD3W5ubcE1wl5,8,34,10597
alligator,recgZD3W5ubcE1wl5,9,89,10951
alligator,recgZD3W5ubcE1wl5,10,21,5554
alligator,recgZD3W5ubcE1wl5,11,71,14286
alligator,recgZD3W5ubcE1wl5,12,71,11226
alligator,recgZD3W5ubcE1wl5,13,19,2739
alligator,recgZD3W5ubcE1wl5,14,39,12112
alligator,recgZD3W5ubcE1wl5,15,70,11276
alligator,recgZD3W5ubcE1wl5,16,44,8640
alligator,recgZD3W5ubcE1wl5,17,115,11904
alligator,recHjbu7hwQJ2h1Y1,11,81,9032
alligator,recHjbu7hwQJ2h1Y1,12,2,395
alligator,recio16TBlNU9moae,9,220,14750
alligator,recio16TBlNU9moae,10,198,39189
alligator,recio16TBlNU9moae,11,50,24186
alligator,recio16TBlNU9moae,12,110,20775
alligator,recio16TBlNU9moae,13,79,19727
alligator,recio16TBlNU9moae,14,40,8773
alligator,recio16TBlNU9moae,15,18,6043
alligator,recio16TBlNU9moae,16,38,7681
alligator,recio16TBlNU9moae,17,49,6234
alligator,recio16TBlNU9moae,18,3,2115
alligator,recItwU7oMthIksS7,9,28,8708
alligator,recItwU7oMthIksS7,10,42,10760
alligator,recItwU7oMthIksS7,12,13,5703
alligator,recItwU7oMthIksS7,13,38,2734
alligator,recj2cnjtsocsyGcX,9,26,5530
alligator,recj2cnjtsocsyGcX,10,78,20464
alligator,recj2cnjtsocsyGcX,11,79,14010
alligator,recj2cnjtsocsyGcX,12,29,16293
alligator,recj2cnjtsocsyGcX,13,130,13603
alligator,recj2cnjtsocsyGcX,14,19,7861
alligator,recj2cnjtsocsyGcX,16,94,13792
alligator,recj2cnjtsocsyGcX,17,101,5306
alligator,recj2cnjtsocsyGcX,18,99,6290
alligator,recj2cnjtsocsyGcX,19,10,2607
alligator,recj2cnjtsocsyGcX,20,20,4588
alligator,recLQGWprQ9Qe7hMz,9,7,1930
alligator,recMCYtAB5VzF3QoQ,12,10,5955
alligator,recMCYtAB5VzF3QoQ,13,95,10932
alligator,recMCYtAB5VzF3QoQ,14,92,6553
alligator,recMCYtAB5VzF3QoQ,15,43,5847
alligator,recMCYtAB5VzF3QoQ,16,16,4689
alligator,recMCYtAB5VzF3QoQ,17,14,5895
alligator,recmkAr21eC0ksoAY,9,6,1622
alligator,recmkAr21eC0ksoAY,10,6,758
alligator,recnLZnzjhonSsTrE,15,21,9018
alligator,reco0GJrIFzjb98x9,12,19,4619
alligator,reco0GJrIFzjb98x9,13,102,22194
alligator,reco0GJrIFzjb98x9,14,51,22735
alligator,reco0GJrIFzjb98x9,15,83,23968
alligator,reco0GJrIFzjb98x9,16,27,20463
alligator,reco0GJrIFzjb98x9,17,64,14745
alligator,reco0GJrIFzjb98x9,18,287,19291
alligator,reco0GJrIFzjb98x9,19,73,19916
alligator,reco0GJrIFzjb98x9,20,43,15401
alligator,reco0GJrIFzjb98x9,21,69,23442
alligator,reco0GJrIFzjb98x9,22,51,18565
alligator,reco0GJrIFzjb98x9,23,24,16382
alligator,reco0GJrIFzjb98x9,24,47,5151
alligator,recOGrxo9eZvO35sn,13,42,6287
alligator,recOGrxo9eZvO35sn,14,209,19103
alligator,recOGrxo9eZvO35sn,15,19,5239
alligator,recOGrxo9eZvO35sn,16,137,5572
alligator,recOGrxo9eZvO35sn,17,134,9981
