,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bread,bucket,can,car,carrot,cat,chair,clock,closet,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,egg,elephant,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hand,hat,jacket,jar,jeans,knife,ladder,lamp,meat,mitten,nail,napkin,necklace,orange,oven,pajamas,pants,paper,pen,pencil,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,scarf,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,soap,sock,spoon,strawberry,stroller,sweater,table,tape,toe,toothbrush,towel,toy,tray,tree,vacuum,watch,window
car,1.2414247,0.5597768,1.3492155,1.0983474,1.0455215,1.1822016,0.75145435,1.0408565,1.3435726,0.7479682,1.3438456,0.9696694,1.1815132,1.1985787,0.65035087,0.574014,0.5913511,0.7879064,1.1002647,0.5294578,0.778543,0.0,1.0352409,1.0524399,1.1375726,0.6110377,1.2109578,0.97525513,1.296984,1.0267897,0.6535549,1.2804158,0.5145683,1.2088557,0.83250964,1.0152199,1.2423663,1.2261056,0.66015804,1.1076198,1.0559634,0.8271626,0.7606908,1.0544903,0.7071418,0.614996,1.2516501,0.9981867,0.96426326,1.0594337,1.320334,1.2764392,0.57014817,1.279292,0.85281205,1.4339646,0.64987373,1.2636561,0.77391756,1.0847774,1.2603233,0.793805,0.62234056,0.93776363,1.2234054,0.904351,1.2512312,1.3803669,1.1331247,0.7163939,0.6612327,0.7236545,1.018466,0.6820486,1.0196036,1.2499007,0.9090004,0.7280842,0.9246687,1.084507,0.9812715,1.384811,1.1497722,1.3191364,1.1611679,0.6195514,1.3262557,0.9577273,0.53939956,1.1726606,0.5518806,0.72708493,0.9070996,1.2502568,1.2862504,0.8615669,1.112807,1.3061745,0.6655872,1.0188583,1.0991913,0.8129223,0.8604861,0.70338464,1.113509
carrot,1.0858673,0.786223,1.062367,0.74294996,0.6785809,1.1018866,1.0279177,1.1294074,1.3771023,0.997086,1.2752312,1.0533183,1.3184968,1.2567667,0.8958457,0.98644644,0.7811612,1.1180482,0.86151665,0.989679,0.9072747,1.0352409,0.0,1.167724,1.1585656,1.0462394,1.2395221,1.1474745,1.1404994,1.1185068,0.5616351,1.353863,0.8401513,1.0788096,0.98568904,1.2201296,1.2213256,1.2700204,0.81392586,1.1257926,0.38353258,0.81832737,1.1950359,0.8268751,0.8837363,1.0115582,1.2123287,0.6250367,0.6132954,1.0484676,1.0396824,0.7953113,0.75966775,0.9657655,1.179925,1.1395333,0.9491348,1.3294591,1.042796,0.9746723,0.9700788,0.5095488,0.6701044,0.69576156,0.60208905,1.1745853,1.1063852,1.1001111,1.0563765,0.73230505,0.74975365,1.0151005,0.7355125,1.2428247,0.96603906,1.0673109,1.2827761,1.0905226,1.2837939,0.8807221,1.071616,1.0913371,1.0248414,0.93868756,1.0651656,1.0597584,1.240684,0.5788934,0.9420451,0.92474616,0.86865765,0.2840833,1.1070052,1.0860645,1.2458835,1.0446432,0.58411986,1.0159557,0.7139437,1.1945399,0.8937818,1.2089316,0.87913096,0.75274587,1.3196785
cat,0.95570797,1.013405,0.9503854,1.0084515,0.9459184,1.0968064,1.0437444,0.7884723,0.76526695,0.7769889,0.99879014,1.000807,0.8021638,0.9178832,1.1964961,1.0157986,1.0868287,1.2455355,1.0533156,1.1972017,0.91663504,1.0524399,1.167724,0.0,1.0227723,1.0419837,0.6801059,1.1558378,0.99376166,1.1476182,1.0310118,0.87288564,1.1694487,0.78869337,1.2591548,0.8565823,1.0174291,1.026033,1.1171134,0.43199635,1.0427663,0.8563925,1.1661205,1.0952927,1.177574,0.98655,1.1311138,0.9928843,1.012579,1.0684341,0.81474125,0.9993674,0.9716311,0.5875094,1.3011299,0.9850323,1.0940658,0.9900564,0.9041811,1.0607439,1.0394835,1.0714663,1.1652865,0.96645355,1.0179265,1.0009211,0.8705969,0.9533663,1.0670205,0.94544214,1.0300004,1.0970701,1.1071837,1.1511714,1.0220953,0.88336796,1.0878052,1.1586311,1.0641652,1.1841311,1.0112655,0.7731899,1.0674635,0.89782846,0.9934966,0.96228737,0.9339551,1.0774161,1.018541,1.1408105,1.0505471,1.2065014,1.0496625,0.9923837,1.1275452,1.19994,1.1277338,1.009345,1.018649,1.0642251,1.1469108,0.9475801,0.98117197,1.0602021,0.7694006
chair,1.0011168,1.3207833,0.9851326,0.961666,0.8339085,0.99860173,0.9930833,0.7035986,0.6175252,1.0638299,0.62096214,1.0552489,0.76469064,0.90627015,0.9412967,1.2606785,1.2050484,0.82634854,1.2028434,0.86163235,0.7136542,1.1375726,1.1585656,1.0227723,0.0,1.2344879,0.86634696,1.2189053,0.66084373,1.2219768,1.2613366,0.6897794,1.1789435,1.10262,0.96489733,0.71078825,0.74869096,0.9437306,1.1555164,1.0990641,1.1911625,1.0158687,0.9258036,1.1201551,1.1780853,1.0173825,1.0421948,1.3212299,1.0178372,1.0454032,1.0391575,1.1263291,1.0930507,0.9572371,0.96017426,0.8294996,1.0219955,0.5843986,1.0678582,1.173679,1.0632579,1.2889528,0.99882877,1.1595497,1.0424128,0.72011286,1.0592558,0.82965255,0.8068849,1.1009384,1.1362282,0.8132702,1.2579677,1.0557736,1.1508402,0.9323299,0.7068012,1.0251601,0.7969863,0.9295291,1.0023408,0.94631135,1.0242985,0.83442926,1.0901788,1.131963,0.7106514,1.1777701,1.2709765,0.99398446,1.1990713,1.144775,0.60780823,1.0474879,0.47024632,1.0342143,1.1223158,1.0647211,1.0756994,0.92217475,1.0094078,1.0547397,0.96044475,1.3061526,0.8554843
clock,1.2404815,0.56680524,1.3519373,0.99989945,0.9442132,1.2212129,0.7621269,1.1273398,1.3073862,0.7503357,1.3893062,1.0117717,1.1005588,1.1772262,0.8232525,0.5464803,0.51517767,0.96699035,0.9756049,0.7229785,0.7604432,0.6110377,1.0462394,1.0419837,1.2344879,0.0,1.139866,0.84752244,1.3133793,0.91756827,0.65307426,1.3253431,0.44449282,1.2064586,0.99642515,1.0014114,1.1832497,1.1834064,0.52095056,1.1353062,1.0356898,0.91953796,0.9862277,0.98135495,0.80968493,0.85054606,1.1513913,0.82247066,1.0633049,1.0332905,1.3289211,1.2967982,0.61402357,1.2514777,1.0035778,1.340866,0.75500727,1.3534316,0.61880696,1.0405321,1.3036284,0.6898178,0.7148025,0.86955106,1.1826925,1.0134588,1.2507999,1.3454738,1.169951,0.712959,0.6579342,0.9060456,1.0260195,0.93714535,0.91842246,1.2100923,1.0821239,0.75988704,1.0400076,1.1255547,1.1029,1.3122704,1.060173,1.1745795,1.0317274,0.5841343,1.3046002,0.8427468,0.5905173,1.1686009,0.59099126,0.71912634,1.1070315,1.1736511,1.2867769,0.7276246,1.0039816,1.331065,0.66006976,1.0937572,1.138129,0.9673558,0.8138017,0.5594276,1.2081473
closet,0.9082339,1.1538806,0.82793814,1.1962233,1.0745516,1.0066053,1.0961623,0.89983404,0.52770805,1.0212234,0.7877476,0.9391534,0.7880298,0.80774844,1.270011,1.143674,1.1938552,1.0182987,0.98216283,1.1246701,1.0197918,1.2109578,1.2395221,0.6801059,0.86634696,1.139866,0.0,1.1156788,0.83162886,1.1076319,1.295255,0.7234614,1.2186352,0.8223214,1.1752036,0.72813046,0.5751884,0.9286699,1.1652558,0.7405226,1.2245008,1.1844214,1.1517727,1.1806203,1.2952461,1.1651175,0.9957883,1.1446626,1.2266608,1.0656679,0.8891537,1.1055865,1.1313437,0.8546554,1.0122198,0.78523576,1.1557387,0.70727515,1.1159511,1.0543656,1.0163317,1.2148967,1.1628712,1.1480798,1.0606679,0.9646753,0.82070357,0.77322316,0.989858,1.2208233,1.239676,1.2319497,1.1450816,1.1477476,1.0995011,0.7951489,1.0397995,1.0063248,0.8662316,1.0866246,1.0813601,0.6760023,1.1129564,0.8743504,1.029206,1.1273054,0.7722689,1.2150608,1.1423444,1.2007525,1.2942615,1.2563581,0.9172751,0.9056841,0.8660581,1.1236664,1.216662,1.0780458,1.1499139,1.0199411,1.110715,0.994623,1.1391741,1.1971667,0.71436816
cookie,0.97025317,1.0306982,1.1511275,1.0994847,1.1927098,0.9824889,0.9240529,1.0736417,1.0786376,1.0716383,1.1771014,0.9523054,0.9891636,1.144454,1.0071049,1.0231854,0.9921135,0.8884753,0.55406904,1.0394412,1.142814,0.97525513,1.1474745,1.1558378,1.2189053,0.84752244,1.1156788,0.0,1.1805979,0.088326395,1.1183912,1.046606,1.0111308,1.0776863,1.0616006,1.147316,1.0374575,1.0443537,0.9048644,1.1163703,1.159142,1.0876555,0.97507334,1.0201168,1.0018944,0.9814427,0.85644805,1.1976413,1.1545043,0.93493533,1.1597043,1.0647435,1.0844691,1.171376,0.82089174,1.1711433,0.98213875,1.1426857,1.0427164,0.7270144,1.0386604,1.1136352,1.1044362,1.1327856,1.1333067,0.96736586,1.1481742,1.2081897,0.98727816,1.1378803,1.0839475,0.909377,0.7974861,0.96917766,0.71356535,1.0455604,0.9498055,0.93884,0.9219355,0.99770135,1.0265846,1.1983683,0.79475164,1.237701,1.037551,0.9434249,1.133637,1.0803937,1.01177,0.93515164,1.084968,1.021769,1.0797423,1.060998,1.0853922,0.82783437,1.0773096,0.9269409,1.118894,0.96676576,0.9159791,0.99935335,1.0824836,1.1369765,1.1628381
couch,0.7875061,1.3580595,0.6386224,1.0417722,1.2154659,0.8183587,1.1858299,0.8921885,0.57849586,1.1733065,0.55999076,1.0175197,0.6571183,0.7742048,1.3092799,1.326402,1.4272695,1.1810763,1.1249416,1.2603731,1.291712,1.296984,1.1404994,0.99376166,0.66084373,1.3133793,0.83162886,1.1805979,0.0,1.1569402,1.4579966,0.6609411,1.4539975,0.84527785,0.98347217,0.9073334,0.7645212,0.70868826,1.3135374,1.0148305,1.2500498,1.1012248,0.9967994,1.1607945,1.3616735,1.1262226,0.79673105,1.2923484,1.0941528,0.92479396,0.7368492,0.83813846,1.4020648,0.75864816,1.0403105,0.6538776,1.3400267,0.4849285,1.2717702,1.0023036,0.7965797,1.3624299,1.3217862,1.3351996,0.80451393,1.0641891,0.67923796,0.6594308,0.76238275,1.402916,1.3599466,1.1701382,1.1817423,1.0770494,1.0400509,0.9028347,0.9385233,1.2965056,0.8776768,0.99606115,1.1110113,0.7212786,1.0583702,0.78402257,1.0125756,1.2903339,0.64537203,1.2944925,1.3180254,0.91364145,1.4391603,1.3505038,0.8932899,0.8213994,0.48280424,1.2625105,1.1360945,0.7986216,1.3262353,0.89616376,0.8819482,0.9801854,1.1816771,1.3925799,0.6709991
cracker,0.9421812,1.0694995,1.1315199,1.1264921,1.194096,0.9607141,0.92498416,1.0458254,1.0719945,1.0937002,1.1452255,0.94177043,1.0053774,1.1513652,1.0097862,1.0646288,1.029644,0.9194032,0.45388317,1.0836325,1.1404839,1.0267897,1.1185068,1.1476182,1.2219768,0.91756827,1.1076319,0.088326395,1.1569402,0.0,1.1197819,1.0231276,1.0727288,1.0631928,1.0622069,1.1072727,0.9974217,1.086093,0.92075765,1.1129156,1.1352726,1.1047189,1.0228605,1.0162846,1.0044411,1.0273516,0.8971914,1.1722755,1.1484499,0.9174366,1.1165597,1.0324571,1.1001478,1.131411,0.85324407,1.1461867,0.9657279,1.115345,1.0683736,0.75191325,1.012588,1.1424981,1.1067057,1.1000583,1.0725784,0.9703766,1.1609696,1.1645268,0.926758,1.1386182,1.0732632,0.96521497,0.7535845,0.9843366,0.707857,1.0259615,0.96362877,0.96187216,0.9273951,0.970732,1.0150895,1.1883074,0.8238608,1.1808126,1.0698811,0.97553635,1.1225157,1.0784234,1.0498958,0.96133673,1.1276752,1.0471437,1.0607116,1.0537208,1.0528682,0.87094945,1.0614719,0.9039341,1.1206691,0.9756408,0.89903784,0.9990265,1.0512043,1.1762781,1.1552985
crayon,1.4557211,0.3332619,1.3738024,0.9247158,0.71684575,1.3370602,0.7229093,1.2758183,1.5746026,0.47197938,1.4982421,1.0793426,1.442053,1.3800465,0.6301234,0.3619287,0.2773956,0.97318834,0.98512185,0.69204897,0.5310731,0.6535549,0.5616351,1.0310118,1.2613366,0.65307426,1.295255,1.1183912,1.4579966,1.1197819,0.0,1.5507624,0.30970454,1.2142013,0.9626212,1.0930135,1.3969969,1.4056213,0.6174993,1.0670965,0.47364295,0.6138922,1.0945455,0.8141483,0.7003728,0.9043484,1.3557429,0.38398993,0.7657873,1.1529543,1.2446437,1.1768007,0.41602838,1.1309583,1.1822438,1.4409697,0.66473746,1.5476172,0.58351505,1.2062888,1.212733,0.21375036,0.37581742,0.39310837,1.1749018,1.0303057,1.3100324,1.4091144,1.2247859,0.2788058,0.22191572,0.8235654,0.8810393,1.0303645,1.1470934,1.3411337,1.1615375,0.81928146,1.2535005,0.9832461,1.1266053,1.3275675,1.0627162,1.1588476,1.182268,0.69066304,1.4486192,0.39585733,0.42299074,1.1769661,0.36350727,0.44383496,1.1137133,1.2859011,1.5331402,0.87707144,0.7589101,1.226777,0.2546016,1.2346666,1.3442044,1.1538846,0.62156475,0.20703411,1.4215794
crib,0.66966367,1.4201467,0.74619055,1.1571516,1.1867318,0.7968037,0.9821389,0.5968154,0.20668018,1.2541984,0.36808455,1.0352188,0.61282516,0.5894394,1.2170646,1.3619328,1.4500858,0.9372859,1.1304569,1.1902626,1.1597615,1.2804158,1.353863,0.87288564,0.6897794,1.3253431,0.7234614,1.046606,0.6609411,1.0231276,1.5507624,0.0,1.4914408,0.9642934,1.259727,0.86496544,0.63202477,0.7785431,1.3758031,0.86769617,1.4159725,1.0777841,0.99563485,1.2791716,1.2132263,1.1491911,0.7787348,1.4497513,1.3540802,0.9106015,0.8712571,0.94696534,1.3674169,0.8918252,0.8587079,0.7814375,1.2538954,0.3397894,1.2141241,0.99012446,0.7882117,1.47662,1.4424245,1.4683567,0.9486284,0.9732647,0.8092245,0.81374013,0.83899623,1.4641206,1.4276304,1.2165421,1.243334,1.0838406,0.978608,0.7533032,0.95100147,1.1163079,0.8564079,1.0825946,0.9143777,0.78875065,0.9315451,1.0247357,0.8938625,1.1636236,0.5411036,1.5022779,1.3439482,0.9864481,1.4111762,1.4442434,0.9820064,0.87412214,0.55468047,1.1966019,1.4091598,0.7913647,1.4746664,0.86073864,0.8016392,0.94953066,1.301859,1.5043094,0.57721454
cup,1.3890686,0.27260792,1.4510992,0.97278476,0.8075705,1.3010107,0.68175113,1.1997916,1.5299076,0.55223274,1.5619793,1.0641562,1.3599842,1.4177761,0.62434405,0.19064045,0.19854945,0.8059716,1.0611497,0.38161975,0.42880404,0.5145683,0.8401513,1.1694487,1.1789435,0.44449282,1.2186352,1.0111308,1.4539975,1.0727288,0.30970454,1.4914408,0.0,1.2535446,0.93558204,0.9578681,1.3999591,1.3258774,0.50743073,1.2106841,0.91310966,0.7532468,0.9327139,0.9828484,0.7701958,0.8401408,1.2174292,0.7116748,0.9645258,0.98451227,1.4058785,1.39349,0.4436965,1.369163,0.85003346,1.4828691,0.70183223,1.462231,0.56128377,1.1985328,1.3558807,0.3920619,0.34121692,0.6808068,1.2287385,0.88162404,1.3993976,1.4556082,1.250555,0.45807076,0.38486177,0.78993374,1.007458,0.8633492,1.0990334,1.3466161,1.0490477,0.6748651,1.0033634,1.0810548,1.1121254,1.4427081,1.1385698,1.314101,1.2196908,0.5323163,1.3840268,0.6734774,0.30215144,1.1867263,0.40403843,0.5534395,1.1080673,1.303704,1.3726004,0.6746679,0.9739965,1.4008904,0.26896083,1.0853724,1.2454392,1.0580232,0.5471517,0.2948947,1.3870773
dog,0.964912,1.1664302,0.75030947,0.98813117,1.0614651,1.0714424,1.0882094,1.0878416,0.8176646,1.0950525,0.9328268,0.91831064,0.839892,0.97221917,1.2892039,1.1764444,1.2498872,1.1835049,0.9705174,1.2287056,1.2380956,1.2088557,1.0788096,0.78869337,1.10262,1.2064586,0.8223214,1.0776863,0.84527785,1.0631928,1.2142013,0.9642934,1.2535446,0.0,0.8824388,1.0302771,1.033528,0.81234616,1.2219456,0.5830816,1.0490257,1.080555,1.0374527,1.0013974,1.114189,1.0377171,0.99086785,0.92657936,1.0342356,1.0563143,0.41324067,0.98604774,1.1179421,0.70915866,1.1504551,0.78821576,1.1916981,0.9408113,1.1195827,0.96579456,0.96456355,1.0695862,1.203695,1.0086128,1.0294245,1.1360219,0.6933409,0.7316948,1.0361954,1.1918668,1.273849,1.179855,0.98807865,1.0834798,1.0681255,0.9140762,1.1158609,1.1762881,1.0133306,1.0860736,1.1515391,0.65538347,1.1161547,0.87559515,1.0448991,1.2186121,0.90860796,1.0619588,1.1674097,1.0340154,1.227828,1.1637253,1.1263838,0.67333436,0.9700058,1.1834376,0.9385516,0.97177595,1.164037,1.0565289,1.0901014,1.0072094,1.1715962,1.1409557,0.8748792
doll,1.1276357,1.016656,1.1254685,0.99534523,1.1051917,1.1489419,1.0057416,1.2402768,1.2179427,1.1786504,1.1280004,0.62364674,1.1809272,1.2143929,1.0205635,1.0145528,1.046319,0.9122074,1.0866452,0.71974564,1.0848713,0.83250964,0.98568904,1.2591548,0.96489733,0.99642515,1.1752036,1.0616006,0.98347217,1.0622069,0.9626212,1.259727,0.93558204,0.8824388,0.0,1.0004337,1.1025511,0.92109156,1.0124722,1.1816686,0.8641223,1.0926535,0.74323356,0.73840606,0.80754566,0.8418273,1.0942653,0.8714662,0.65180516,1.1872597,0.89304686,0.99999356,0.83738256,1.1210312,0.95098263,1.0357999,0.9445436,1.0678432,1.0267113,1.03025,0.89149266,0.91883075,0.8395917,0.83364576,1.0466381,0.98348486,0.9168968,1.0127208,1.0203558,1.0695244,1.0489143,0.6587212,0.91466033,0.8729502,1.1488991,1.2296011,0.692004,0.8513569,0.9170667,0.78700644,1.0656655,1.0297428,0.95272666,1.0070559,1.2632309,1.1506047,1.2327939,0.7597345,1.0234014,0.88906956,1.0146948,0.8861703,0.7561698,1.0320166,1.0610013,0.89025474,0.7266318,1.1886933,0.93155533,1.0671744,1.1009402,1.0660828,0.8749594,0.92017585,1.1978269
door,1.050662,1.1486205,1.0222288,1.1799899,0.99489915,1.172516,0.7433051,0.80233264,0.8657874,0.9642278,0.8333826,1.0190625,0.9027873,1.0172396,0.9161063,0.99083185,1.0832388,0.90404093,1.2078147,0.78950894,0.5502343,1.0152199,1.2201296,0.8565823,0.71078825,1.0014114,0.72813046,1.147316,0.9073334,1.1072727,1.0930135,0.86496544,0.9578681,1.0302771,1.0004337,0.0,0.700227,1.0910614,1.1153138,0.98207694,1.1642531,1.0863533,0.9901453,1.0307198,1.0807842,1.1361614,1.2112188,1.1651361,1.1130952,1.0853746,1.0657078,1.2728006,0.9890242,0.9079095,0.989708,1.0081294,0.7492819,0.76827085,0.82913834,1.2546753,1.1953025,1.1689882,0.8259548,0.98364305,1.1817526,0.2950353,1.1674471,0.92702526,0.83346283,0.9765399,0.9560748,1.0194057,1.2059859,1.0094187,1.2771254,1.0799416,0.8677262,0.7679999,0.41542828,0.9906929,1.111989,1.0706093,1.0259796,0.9162722,1.1576407,0.99978536,1.0621903,1.0699604,1.0868295,0.9952894,1.0508991,1.150488,0.75260544,1.1029344,0.90567183,1.1755083,1.0466123,1.1759183,0.7643303,1.0835977,1.2182604,0.9146068,0.50436157,1.094712,0.7453853
drawer,0.9466108,1.381563,0.89233106,1.1258423,1.0825948,0.9167614,0.99438584,0.79450256,0.5838616,1.187938,0.5082191,1.0433149,0.8096353,0.7491365,1.0063316,1.3348277,1.2744424,0.8261962,0.99101776,1.1661648,1.0971563,1.2423663,1.2213256,1.0174291,0.74869096,1.1832497,0.5751884,1.0374575,0.7645212,0.9974217,1.3969969,0.63202477,1.3999591,1.033528,1.1025511,0.700227,0.0,0.9484772,1.2716873,1.0325494,1.1837821,1.2124941,1.0493696,1.0471911,1.1083667,1.1443311,0.9145787,1.1886033,1.1678681,1.0211543,0.95733535,0.99339557,1.2596815,0.9666199,1.0221255,0.83227825,1.0726678,0.6644953,1.0712432,0.97528833,0.893068,1.3938043,1.2215276,1.1527067,0.9887948,0.734415,0.94805753,0.854386,0.78655815,1.2594469,1.258577,1.1881747,1.0193377,1.1302941,1.0003929,0.85600483,0.9166937,0.8803365,0.72994184,0.9138648,1.1074233,0.9876311,0.9888778,0.84823596,0.99320143,1.0771637,0.8027922,1.2355955,1.3571422,1.085788,1.3336285,1.2807101,0.8160926,1.0088292,0.6853349,1.0864528,1.1569226,1.0199382,1.3019056,0.91078424,0.94996744,1.0289562,1.1518667,1.2839537,0.7917254
dress,0.7998523,1.2999616,0.7278491,1.1271513,1.260007,0.8739114,1.2355915,1.0633948,0.76262534,1.1942664,0.7693865,0.79718935,0.8071847,0.80586016,1.2762868,1.2355793,1.3844302,1.1725276,1.1909403,1.2464294,1.3708947,1.2261056,1.2700204,1.026033,0.9437306,1.1834064,0.9286699,1.0443537,0.70868826,1.086093,1.4056213,0.7785431,1.3258774,0.81234616,0.92109156,1.0910614,0.9484772,0.0,1.2450948,0.96252924,1.2627635,1.1474224,0.9601809,1.1547546,1.253661,1.0143031,0.69868857,1.2207208,1.1378423,0.92965865,0.71167886,0.88832533,1.3521531,0.9770584,1.0230811,0.59438634,1.278098,0.7663458,1.27779,0.97421503,0.81479275,1.2857985,1.3596395,1.2907073,0.8941665,1.117434,0.52560604,0.67147326,0.9251673,1.3886347,1.3834836,1.1450903,1.1163836,1.0783566,1.0464356,0.94608545,0.8981838,1.2014858,0.9903698,0.9024444,1.0511397,0.62931865,1.0439845,0.8605602,1.0050714,1.3308747,0.6276922,1.3100951,1.2577522,0.94784606,1.3687749,1.3546023,0.9978368,0.74656695,0.7242989,1.0579624,1.1521323,0.79899603,1.3381597,0.7306697,0.8988025,1.0039984,1.2544982,1.2858988,0.8609482
egg,1.2169366,0.5730264,1.3586038,0.9868911,0.80441993,1.0774953,0.8066807,1.1020378,1.4238684,0.78069615,1.4790767,1.0513988,1.2760473,1.3183458,0.7989783,0.7420794,0.5045028,0.8287473,0.753366,0.68177044,0.6933123,0.66015804,0.81392586,1.1171134,1.1555164,0.52095056,1.1652558,0.9048644,1.3135374,0.92075765,0.6174993,1.3758031,0.50743073,1.2219456,1.0124722,1.1153138,1.2716873,1.2450948,0.0,1.168525,0.8564771,0.8486235,1.0053709,1.0299716,0.8018689,0.8116638,1.1720542,0.90691674,0.94028604,0.9422962,1.3233526,1.2069619,0.7138884,1.2971406,0.8990312,1.3413298,0.8540256,1.3617041,0.82061607,1.0700111,1.1749123,0.690112,0.60332555,0.8099355,1.0563376,1.0756924,1.2938426,1.3427095,1.1806232,0.75920844,0.6588244,0.904993,0.84347194,0.90988684,0.9057616,1.1075177,1.1175851,0.8375181,1.1638653,1.0797759,1.0661875,1.3071578,1.0967187,1.1481866,1.0818527,0.7586128,1.3292198,0.83011866,0.6043464,1.132239,0.61130375,0.6287645,1.0833508,1.182121,1.2947631,0.59052956,0.9877099,1.2237731,0.63384306,1.1164616,1.0515177,1.0390698,0.794444,0.7231817,1.3522621
elephant,0.98186266,1.057666,0.9109853,0.9310284,0.954863,1.0542665,1.0424385,0.9575434,0.79270065,1.0014621,0.95493007,1.0185043,0.7934922,0.88975453,1.2140138,1.0665151,1.1488152,1.2268808,1.0866953,1.2029064,1.0739932,1.1076198,1.1257926,0.43199635,1.0990641,1.1353062,0.7405226,1.1163703,1.0148305,1.1129156,1.0670965,0.86769617,1.2106841,0.5830816,1.1816686,0.98207694,1.0325494,0.96252924,1.168525,0.0,1.0168457,1.0094054,1.1053927,1.0843983,1.0386508,1.1135898,1.1197494,0.90754586,1.0591741,1.0278367,0.5521615,1.006189,0.9956547,0.6481471,1.2298183,0.919314,1.0324084,1.0324985,1.0538557,1.0416807,0.9706846,1.0609705,1.1318876,0.99551266,1.0376284,1.0949935,0.80391425,0.8890418,1.1279967,1.0667756,1.1392075,1.0952376,1.0601311,1.0548518,1.1118397,0.8852347,1.1224334,1.1866336,1.1225702,1.0780237,0.9965141,0.7804471,1.1045084,0.96225315,0.96133065,1.1070948,0.94317704,1.1056306,1.0398872,1.104454,1.0733143,1.1951298,1.1287135,0.829227,1.1450499,1.1921637,1.0485572,0.98396087,1.0559502,1.0721884,1.1421058,1.0170902,1.0538089,1.0820777,0.872704
finger,1.2366953,0.87573063,1.0210894,0.70059776,0.66602826,1.2087376,0.9950309,1.2218903,1.3799713,0.936304,1.2910116,1.04044,1.330363,1.2191386,0.9213817,1.0308611,0.8678458,1.0943964,0.9028022,1.0398133,0.8871894,1.0559634,0.38353258,1.0427663,1.1911625,1.0356898,1.2245008,1.159142,1.2500498,1.1352726,0.47364295,1.4159725,0.91310966,1.0490257,0.8641223,1.1642531,1.1837821,1.2627635,0.8564771,1.0168457,0.0,0.95239943,1.1964134,0.5826756,0.75054777,0.9870386,1.2905225,0.3845662,0.4389047,1.2203794,0.98759115,0.5677544,0.7648498,0.91430485,1.2926254,1.0909523,0.9491131,1.4282985,0.915937,1.0990797,0.8751331,0.4731257,0.7713667,0.4431479,0.9054079,1.0885406,1.06123,1.0799077,1.1148717,0.7157366,0.73275983,0.8342488,0.7884121,1.18728,1.128253,1.1685239,1.2119355,0.98973334,1.2947268,0.9544612,1.0884604,1.0510838,0.82471347,0.851153,1.0511231,1.1004441,1.3527793,0.3248474,0.9884182,0.8133564,0.82739544,0.5483089,1.1279948,1.1019452,1.4065808,0.9693736,0.31535816,0.94088596,0.7542999,1.2564301,1.1766868,1.198545,0.8589107,0.61332905,1.3254411
fish,1.1087208,0.8264866,1.1888433,1.0297031,0.83190995,1.144299,0.9751847,0.8308576,1.2176069,0.7566263,1.1499505,1.1078002,1.1141202,1.1989628,0.9754797,0.82904243,0.7902622,0.9536699,1.1449056,0.82736784,0.85699075,0.8271626,0.81832737,0.8563925,1.0158687,0.91953796,1.1844214,1.0876555,1.1012248,1.1047189,0.6138922,1.0777841,0.7532468,1.080555,1.0926535,1.0863533,1.2124941,1.1474224,0.8486235,1.0094054,0.95239943,0.0,0.8886926,1.1093847,0.9779598,0.82096547,1.0330976,0.96265143,0.83388376,0.924773,1.0655358,1.0841191,0.80044925,1.0502445,1.0422776,1.2032123,1.081921,1.0638275,0.9303809,0.9622321,0.96268797,0.83092874,0.843287,0.93201107,0.95950884,1.0937741,1.135706,1.2270906,1.0242356,0.8191421,0.7384037,0.9918261,1.0218261,0.9722304,0.9421408,1.1450685,0.9926379,1.133511,1.1131206,0.9210336,0.8545009,1.1725008,1.0827936,1.1407152,0.9919523,0.94518125,1.0645792,1.0312991,0.8696375,1.1117408,0.7348989,0.79234135,1.0114617,1.1686462,1.0375968,0.93863815,1.105933,1.091693,0.80657715,0.92572606,0.9769001,1.058582,0.95341295,0.87547296,1.1048135
