,apple,ball,balloon,basket,bed,belt,bench,bib,blanket,book,bottle,bowl,box,bread,bucket,can,car,cat,chair,coffee,couch,cracker,crayon,crib,cup,deer,dog,doll,door,finger,flower,game,glasses,gum,hand,hat,jeans,knife,lamp,nail,napkin,owl,paper,pen,pig,pillow,pizza,plate,pony,purse,refrigerator,shirt,sink,slide,slipper,table,tape,towel,toy,window
lamp,0.69926816,0.7049575,0.5057589,1.2138137,1.2960376,0.7560295,1.3564835,1.1338005,1.2237582,1.2136668,0.6994362,1.0355968,1.0812361,0.7940497,1.0211055,1.0100307,1.2441938,0.7931278,1.3304609,1.1593671,1.4334518,1.090217,0.56687796,1.1347626,0.812989,1.1322197,1.1665394,1.0082877,0.75222796,1.0875323,0.6563133,1.2480142,1.1810272,1.1447203,1.1524713,0.79469216,1.3610464,0.72178257,0.0,0.7746266,1.2611877,0.7605501,1.2054927,0.6738416,1.074752,0.7991806,1.059278,0.91413045,1.0942398,1.0087785,0.9253622,1.3782685,0.7787979,0.9318675,0.70251137,1.3746483,0.7700372,1.2948837,0.88185936,1.212955
nail,0.34387338,0.404984,0.8376721,1.2135689,1.3908731,0.6479732,1.2471249,1.2224345,1.1408235,1.3249146,0.5663271,0.70468843,1.372941,0.9126534,0.77988774,0.82598984,1.2943124,0.96595293,1.3108205,1.3088639,1.332443,0.9198248,0.28595388,1.3683262,0.40145886,1.2742357,1.2961297,1.1583573,1.1338326,0.8712652,0.80062586,1.2251548,0.73973536,1.0378386,1.2498485,0.22488093,1.2501575,0.8191254,0.7746266,0.0,1.2545753,0.9546109,1.3035789,0.37762785,1.1171516,0.8583466,0.9736475,0.68920505,1.2544132,1.2985537,1.1902139,1.2904522,0.8402264,1.0636598,0.486457,1.3805438,0.7692996,1.2916512,1.1201156,1.1788079
napkin,1.2424488,1.1986291,1.1336962,0.98395246,0.9464109,1.2941829,0.87478113,0.6461127,0.66734844,1.0139905,1.1227958,1.060044,0.95680135,1.1894951,1.1128306,1.051571,0.9330299,1.124021,0.6958517,1.0035856,0.6001081,1.0839704,1.3419331,0.9694065,1.205887,0.9675725,0.9253367,0.90832007,0.96213657,1.0093585,1.1605507,1.0304633,1.0232313,0.75395584,0.77761203,1.243799,0.76995945,1.248237,1.2611877,1.2545753,0.0,1.208424,1.0378832,1.3279512,0.81664133,1.1305628,1.1020894,1.1474308,0.9106722,0.93651587,0.82635623,0.6288621,1.2929984,0.8840147,1.2020257,0.8721545,1.2832098,0.382308,1.1080813,0.8701761
owl,0.85920954,1.0177797,1.0488172,0.83562225,1.1212943,1.0913087,1.2828636,1.1959851,1.2396364,1.047706,0.92226017,1.0907456,0.9998486,1.0011512,1.0866663,1.0697896,1.1264817,0.8332441,1.1290572,1.031801,1.2407283,1.0647619,0.9754516,1.0843506,1.067545,0.8294035,0.76888657,0.7082515,1.0388548,1.0672004,0.8460345,1.0854532,1.1025021,1.0918545,1.2221472,0.88145214,0.9825225,1.0247761,0.7605501,0.9546109,1.208424,0.0,1.061961,0.8991863,1.0928375,0.9667761,1.0714718,0.9670652,0.90103483,1.1427388,1.1304901,1.3383675,1.0687338,1.0567814,0.96453476,1.1265465,0.962966,1.2587707,0.56487244,1.137985
paper,1.1801752,1.2946126,1.1339463,0.9002706,0.7167714,1.2297213,1.0522242,0.97148484,0.92750007,0.47774446,1.2039961,1.306932,0.75778115,0.96051985,1.273391,1.2793845,0.8025253,1.0265297,1.0386683,0.9291107,0.9147833,1.2424877,1.2480246,0.90124094,1.2923499,0.9176575,0.91321975,0.92487025,0.99669904,1.0752232,1.228463,0.5924518,1.0825535,1.0143228,0.8568585,1.3282832,0.87754554,1.2417483,1.2054927,1.3035789,1.0378832,1.061961,0.0,1.246015,1.1645484,1.1418278,1.2471426,1.1452826,0.9647878,1.028054,1.0086135,0.8561832,1.1169517,1.0950474,1.3582957,0.6467289,1.1236854,0.9109146,0.97399694,0.83259046
pen,0.3954761,0.6531358,0.9335813,1.0805893,1.371466,0.55131865,1.2066416,1.2155895,1.1495993,1.2124504,0.5577678,0.77328706,1.2123466,0.720279,0.8482719,0.9197509,1.3452595,0.85310173,1.3598285,1.3644253,1.4022064,1.0132886,0.18481171,1.3289983,0.47599697,1.3498443,1.4051247,1.273014,1.0617621,0.92285186,0.83648354,1.1927785,0.71784186,1.0283306,1.2716907,0.28328156,1.2243805,0.71981394,0.6738416,0.37762785,1.3279512,0.8991863,1.246015,0.0,1.1891515,0.8177507,0.98680174,0.8319392,1.3705068,1.2717595,1.0139855,1.3650979,0.6470132,1.0317394,0.42691875,1.357573,0.93214184,1.2507956,1.1167386,1.1972454
pig,1.0968637,0.8546436,0.8791401,0.8772328,1.2298161,1.1105777,0.8761502,0.8515969,1.0130342,1.2625958,0.7500573,0.8040442,1.166978,1.2475442,0.8267024,0.7478885,0.9639232,1.2226487,0.9175619,1.183052,0.9524228,0.64791346,1.1897554,1.0927947,0.8172586,0.9471009,0.9750306,1.1739372,1.1039413,0.9025635,0.77100885,1.1577193,0.9389992,1.0373303,1.0227369,0.9474063,1.1371102,1.10536,1.074752,1.1171516,0.81664133,1.0928375,1.1645484,1.1891515,0.0,1.0078367,0.6571242,0.95307446,0.7231039,1.0784787,0.89727813,0.7195715,1.2147298,0.90199864,0.96462905,1.2685483,1.1074858,0.9338857,1.0863012,1.1553588
pillow,0.8543985,0.7436288,0.8053276,1.1071535,0.9175084,0.87034416,1.098675,1.082503,0.75093305,1.1990886,0.8042439,0.9935864,1.0902481,0.9751245,1.001983,0.98827267,1.1861194,0.88072217,0.8481615,1.1129833,0.8437375,1.0054983,0.77436197,1.0999397,0.8244829,1.2013633,1.1129767,1.0675429,0.8139911,1.0853935,0.9215681,1.2286874,1.0192368,1.1642151,1.1058055,0.8121897,1.1782243,0.8750295,0.7991806,0.8583466,1.1305628,0.9667761,1.1418278,0.8177507,1.0078367,0.0,0.98487866,0.9063909,1.2171535,0.878544,0.9375272,1.1300341,0.81964356,1.1000904,0.7968725,1.1942482,0.87458825,1.1257617,1.1047318,1.2276647
pizza,1.1713574,1.0207425,0.86658686,0.8718676,1.3196656,0.70623714,0.8624441,0.9090417,1.0615046,1.2723205,1.005578,0.6728058,1.2324264,1.3036752,0.66060174,0.7102495,1.1227833,0.9746762,1.0169394,1.2924317,1.135352,0.12451422,1.0062313,1.1829995,0.86433196,1.0610377,1.1041855,1.3148022,1.1731113,0.9850414,0.67260504,1.0899744,0.96013576,1.0512736,1.3467276,0.9260453,1.1850342,0.84063417,1.059278,0.9736475,1.1020894,1.0714718,1.2471426,0.98680174,0.6571242,0.98487866,0.0,0.8146203,0.93562365,1.1245955,1.0509945,0.9352311,0.74579597,0.88200337,0.7362169,1.3755579,0.8553034,1.0235629,1.0805018,1.2225416
plate,0.93058026,0.7062267,0.8346642,1.0936997,1.2031187,0.706169,0.9849559,1.2325345,1.1188422,1.2295986,0.6985028,0.73827887,1.246733,1.187408,0.7571133,0.81101763,1.2776895,1.1431549,1.0352982,1.2498019,1.0059153,0.8617935,0.92456204,1.2132671,0.4394313,1.2025396,1.095712,1.1084402,1.3318927,0.9369573,1.0729148,1.171628,0.653578,0.9552881,1.1424264,0.6235605,1.1245949,0.88339317,0.91413045,0.68920505,1.1474308,0.9670652,1.1452826,0.8319392,0.95307446,0.9063909,0.8146203,0.0,1.15746,1.1720818,1.2368133,1.0552561,0.89741,1.0576619,0.5009158,1.2705812,0.3065927,1.1632106,1.0670903,1.1395624
pony,1.234803,1.1671098,1.0542474,0.931486,1.0432161,1.2735496,0.9788534,0.97263235,1.1566409,0.897452,1.2456868,1.2164379,0.9313785,1.079156,1.1906582,1.1615086,0.840924,1.1762825,0.89835066,0.90337956,0.96552455,0.9875903,1.3369904,0.97078073,1.2386637,0.100488305,0.30334347,0.71405756,1.0931693,1.0719678,0.9214095,0.98717606,1.2552671,1.0221988,0.9522104,1.3007567,0.9686556,1.1566976,1.0942398,1.2544132,0.9106722,0.90103483,0.9647878,1.3705068,0.7231039,1.2171535,0.93562365,1.15746,0.0,0.8800095,1.1790152,0.93175143,1.2484565,1.0664886,1.2780042,1.0109164,1.1211987,1.0962234,0.87886524,0.9666749
purse,1.2374777,1.2031672,0.9840634,1.0290508,0.8883214,1.2407451,0.8180848,0.8523794,0.8127701,1.0272769,1.2523494,1.0348803,0.6858641,1.0013825,0.9740554,1.008889,0.88217527,1.1213433,0.82391477,0.84164506,0.8440312,1.075593,1.2795701,0.86187863,1.3189747,0.85173666,0.84760803,1.0070552,0.9137476,1.1304932,1.0354337,1.0158365,1.1665361,0.9763821,0.900921,1.3808842,0.92929095,1.0034395,1.0087785,1.2985537,0.93651587,1.1427388,1.028054,1.2717595,1.0784787,0.878544,1.1245955,1.1720818,0.8800095,0.0,0.9860291,0.97119015,1.1415381,0.970254,1.2054591,0.93852425,0.9477258,0.89136595,1.0325248,0.9928387
refrigerator,1.091279,1.1181693,0.8858204,1.1519018,0.8962636,0.98607874,1.0581043,0.91558355,0.81952804,1.1233274,1.0229769,1.0691748,0.942108,1.1103668,1.0642927,1.049325,1.0632557,0.75794697,0.90371966,1.0689019,0.90650594,1.1136581,1.0601903,0.8876193,1.1511545,1.1954902,1.1343229,1.2283871,0.47088993,1.2172536,1.0396094,1.0154037,1.1200767,1.1148118,0.9899599,1.1224277,0.89451367,0.9156227,0.9253622,1.1902139,0.82635623,1.1304901,1.0086135,1.0139855,0.89727813,0.9375272,1.0509945,1.2368133,1.1790152,0.9860291,0.0,0.9473244,0.9139316,1.1008393,1.1581639,0.8532393,1.230058,0.58462936,1.148064,0.8680228
shirt,1.321971,1.1588427,1.0669088,1.0483786,0.8303913,1.2549558,0.7284525,0.6569296,0.73427904,0.9648524,1.1101224,1.0938137,1.0465125,1.1352733,1.0861242,1.0290122,0.82985044,1.1416346,0.74653196,0.8741441,0.62534267,0.9032245,1.33603,0.925719,1.0584279,0.9855614,0.9437073,1.0581465,1.099886,0.98621035,1.2459254,0.9608138,1.0174053,0.9282714,0.7092837,1.297052,0.8607797,1.3956335,1.3782685,1.2904522,0.6288621,1.3383675,0.8561832,1.3650979,0.7195715,1.1300341,0.9352311,1.0552561,0.93175143,0.97119015,0.9473244,0.0,1.0876186,1.037732,1.3299989,0.7802856,1.2300459,0.7062806,1.2259395,0.7865727
sink,0.93193096,0.90248436,0.8852039,1.1166351,1.2355387,0.39694595,1.0474724,1.1135962,1.0468702,1.1343821,0.9170379,0.79078376,1.1518242,0.77862287,0.77426004,0.9151202,1.2013892,0.74475044,1.165159,1.2072186,1.154579,0.8461941,0.57862246,1.2212875,0.7843476,1.2114558,1.2924501,1.2067994,0.9946405,1.1140703,0.95088327,1.1020567,1.0695306,1.1021038,1.2614281,0.7783259,1.1384043,0.8102233,0.7787979,0.8402264,1.2929984,1.0687338,1.1169517,0.6470132,1.2147298,0.81964356,0.74579597,0.89741,1.2484565,1.1415381,0.9139316,1.0876186,0.0,1.0949562,0.7744989,1.2250534,0.9484415,1.2040105,1.0622787,1.1437731
slide,0.9939621,0.9924402,1.0161083,0.90545505,1.2730191,1.0252273,0.8815798,0.8207974,1.071539,1.1005915,0.880215,0.79383624,0.9782315,1.0030172,0.8078289,0.80445284,1.078903,1.1400803,1.070673,1.1034226,1.2328446,0.80862105,0.9717561,1.1247531,0.95261973,1.1485072,1.273881,1.2133367,0.92500156,0.82117224,0.88031846,1.1104939,1.0394839,1.0229895,1.0797417,1.0103872,1.1819452,0.88116765,0.9318675,1.0636598,0.8840147,1.0567814,1.0950474,1.0317394,0.90199864,1.1000904,0.88200337,1.0576619,1.0664886,0.970254,1.1008393,1.037732,1.0949562,0.0,0.8009001,1.2629964,0.97826576,1.0377718,0.5996104,1.2408457
slipper,0.6361404,0.6214596,0.87186456,0.99971753,1.4728498,0.4499749,1.0465565,1.1433768,1.1930315,1.3321894,0.5979341,0.5188044,1.2694405,1.0292805,0.603925,0.6578827,1.4005827,1.0190423,1.2868153,1.4421864,1.3660412,0.76164234,0.45127082,1.3385934,0.45641315,1.342414,1.3992678,1.3326621,1.21156,0.8212022,0.7799045,1.2928414,0.608666,1.0356172,1.340771,0.36175132,1.2768164,0.6528623,0.70251137,0.486457,1.2020257,0.96453476,1.3582957,0.42691875,0.96462905,0.7968725,0.7362169,0.5009158,1.2780042,1.2054591,1.1581639,1.3299989,0.7744989,0.8009001,0.0,1.5773506,0.57797027,1.212033,1.011838,1.3935301
table,1.2745008,1.3910463,1.2707231,1.0418144,0.26226902,1.3584263,0.9868786,1.0865546,0.838853,0.48629493,1.424014,1.4945546,0.75278693,1.0731279,1.4685898,1.4077065,0.71561044,1.0056816,0.76066273,0.43204546,0.57529414,1.4083488,1.4183509,0.5727477,1.4146216,0.91039604,0.7838768,0.78064704,0.91388667,1.2034864,1.3652917,0.6149363,1.1856174,0.9389858,0.5931606,1.462854,0.5615272,1.3350298,1.3746483,1.3805438,0.8721545,1.1265465,0.6467289,1.357573,1.2685483,1.1942482,1.3755579,1.2705812,1.0109164,0.93852425,0.8532393,0.7802856,1.2250534,1.2629964,1.5773506,0.0,1.2561735,0.75204265,1.1250015,0.53957963
tape,0.9576404,0.784033,0.7155142,0.99844015,1.1606368,0.7207072,1.038181,1.2196658,1.1150948,1.1752613,0.89680797,0.8407108,1.0949224,1.0562465,0.8134539,0.8760555,1.2707801,1.1172614,1.1171454,1.1537684,1.1828961,0.847002,0.9418055,1.1453271,0.7146046,1.1512228,1.0661688,1.0582244,1.1138562,0.95005715,0.9332719,1.1522567,0.7796019,1.0853695,1.1980714,0.82824486,1.2626607,0.70529985,0.7700372,0.7692996,1.2832098,0.962966,1.1236854,0.93214184,1.1074858,0.87458825,0.8553034,0.3065927,1.1211987,0.9477258,1.230058,1.2300459,0.9484415,0.97826576,0.57797027,1.2561735,0.0,1.2340386,0.9970698,1.2237519
towel,1.2666273,1.2870064,1.0349207,0.96369606,0.8323729,1.3006711,0.93907845,0.61136454,0.55683523,0.9692493,1.1876307,1.0074056,0.9091971,1.2463732,1.0444869,1.0044856,0.879802,0.97767293,0.7800971,1.0703301,0.6375683,1.056767,1.3240771,0.8813676,1.2879813,1.1478043,1.0318508,1.1555521,1.0042328,1.1708783,1.17028,0.92316633,0.9829636,0.7815465,0.88138217,1.2748573,0.6525567,1.2221346,1.2948837,1.2916512,0.382308,1.2587707,0.9109146,1.2507956,0.9338857,1.1257617,1.0235629,1.1632106,1.0962234,0.89136595,0.58462936,0.7062806,1.2040105,1.0377718,1.212033,0.75204265,1.2340386,0.0,1.1970845,0.9259118
toy,0.9647308,1.1010913,1.1434718,0.8493889,1.0736481,1.1028025,1.0646235,1.0452201,1.2368283,0.9310551,0.92949,0.99828565,0.85187787,1.0263331,0.95049924,0.9688269,0.9408231,1.068306,1.1127087,0.9644513,1.2331536,1.0095946,1.0693054,0.9561365,1.1416705,0.8862671,0.9880112,0.7925124,0.9911563,1.0428352,0.8661581,1.035362,1.1945138,1.1910856,1.1974937,1.018701,1.0778942,0.99180305,0.88185936,1.1201156,1.1080813,0.56487244,0.97399694,1.1167386,1.0863012,1.1047318,1.0805018,1.0670903,0.87886524,1.0325248,1.148064,1.2259395,1.0622787,0.5996104,1.011838,1.1250015,0.9970698,1.1970845,0.0,1.2012502
window,1.1941308,1.2219051,1.1660094,1.1761129,0.65651494,1.1940002,1.0149182,1.0717114,0.9932902,0.86487484,1.2571713,1.3442757,1.0290972,1.0659314,1.3236439,1.292537,0.80194795,0.9601942,0.7386029,0.6994757,0.67413837,1.2539713,1.26392,0.7759203,1.2444925,0.8810377,0.8348821,0.83771706,0.8831488,1.1351845,1.2883034,0.84979856,1.0262914,0.9169798,0.7815225,1.284287,0.72519356,1.2173481,1.212955,1.1788079,0.8701761,1.137985,0.83259046,1.1972454,1.1553588,1.2276647,1.2225416,1.1395624,0.9666749,0.9928387,0.8680228,0.7865727,1.1437731,1.2408457,1.3935301,0.53957963,1.2237519,0.9259118,1.2012502,0.0
