"","target","min_distance","cleaned_target","object","source","log_prop","in_cdi","num_direct_children","direct_parent","path_1","path_2","path_3","path_4","path_5","path_6"
"109","bus.n.01",3,"bus","bus","vqa_yoloe",-8.81557863226986,TRUE,0,"conveyance.n.03","object","conveyance","bus",NA,NA,NA
"110","butt.n.08",4,"butt","butt","yoloe",-9.71497114038066,FALSE,0,"barrel.n.02","object","container","barrel","butt",NA,NA
"111","butter.n.01",1,"butter","butter","vqa_yoloe",-7.95224095190257,TRUE,0,"entity.n.01","butter",NA,NA,NA,NA,NA
"112","butterfly.n.01",3,"butterfly","butterfly","vqa_yoloe",-8.21836553604868,TRUE,0,"animal.n.01","object","animal","butterfly",NA,NA,NA
"113","button.n.01",3,"button","button","yoloe",-8.71920169391887,TRUE,0,"device.n.01","object","device","button",NA,NA,NA
"114","cabinet.n.01",3,"cabinet","cabinet","vqa",-4.05099913648165,FALSE,0,"furniture.n.01","object","furniture","cabinet",NA,NA,NA
"115","cable.n.02",3,"cable","cable","vqa",-9.98747937525687,FALSE,1,"device.n.01","object","device","cable",NA,NA,NA
"116","cactus.n.01",2,"cactus","cactus","vqa",-8.16293008320583,FALSE,1,"object.n.01","object","cactus",NA,NA,NA,NA
"117","cage.n.01",3,"cage","cage","vqa",-7.93335564156133,FALSE,1,"enclosure.n.01","object","enclosure","cage",NA,NA,NA
"118","cake.n.03",2,"cake","cake","vqa_yoloe",-6.69596730273109,TRUE,4,"food.n.02","food","cake",NA,NA,NA,NA
"119","calculator.n.02",4,"calculator","calculator","vqa",-9.39969271035475,FALSE,0,"machine.n.01","object","device","machine","calculator",NA,NA
"120","calendar.n.01",1,"calendar","calendar","vqa",-7.98599937504675,FALSE,0,"entity.n.01","calendar",NA,NA,NA,NA,NA
"121","camel.n.01",3,"camel","camel","vqa",-9.98747937525687,FALSE,0,"animal.n.01","object","animal","camel",NA,NA,NA
"122","camera.n.01",2,"camera","camera","vqa_yoloe",-5.79558608347639,TRUE,0,"object.n.01","object","camera",NA,NA,NA,NA
"123","can_opener.n.01",3,"can opener","can opener","vqa",-9.98747937525687,FALSE,0,"tool.n.01","object","tool","can opener",NA,NA,NA
"124","candle.n.01",4,"candle","candle","vqa",-7.90803783357704,FALSE,0,"lamp.n.01","object","device","lamp","candle",NA,NA
"125","candy.n.01",1,"candy","candy","vqa_yoloe",-10.0181019692479,TRUE,2,"entity.n.01","candy",NA,NA,NA,NA,NA
"126","candy_cane.n.01",2,"candy cane","candy cane","vqa",-9.11201063790297,FALSE,0,"candy.n.01","candy","candy cane",NA,NA,NA,NA
"127","canister.n.02",3,"canister","canister","vqa",-10.903770107131,FALSE,0,"container.n.01","object","container","canister",NA,NA,NA
"128","cap.n.01",3,"cap","cap","vqa",-9.11201063790297,FALSE,0,"clothing.n.01","object","clothing","cap",NA,NA,NA
"129","capsicum.n.01",3,"capsicum","pepper","vqa",-10.2106229265711,FALSE,0,"shrub.n.01","object","shrub","capsicum",NA,NA,NA
"130","car.n.01",3,"car","car","vqa_yoloe",-4.59539931647377,TRUE,0,"container.n.01","object","container","car",NA,NA,NA
"131","car_door.n.01",3,"car door","car door","vqa",-9.1990220148926,FALSE,0,"door.n.01","object","door","car door",NA,NA,NA
"132","car_seat.n.01",3,"car seat","car seat","vqa",-6.43786198847645,FALSE,0,"device.n.01","object","device","car seat",NA,NA,NA
"133","car_wheel.n.01",4,"car wheel","car wheel","vqa",-10.4983049990229,FALSE,0,"wheel.n.01","object","device","wheel","car wheel",NA,NA
"134","car_window.n.01",2,"car window","car window","vqa",-8.33882074966949,FALSE,0,"object.n.01","object","car window",NA,NA,NA,NA
"135","card.n.04",3,"card","card","vqa",-7.76827589120188,FALSE,0,"cardboard.n.01","paper","cardboard","card",NA,NA,NA
"136","card_game.n.01",2,"card game","card game","vqa",-10.4983049990229,FALSE,0,"game.n.01","game","card game",NA,NA,NA,NA
"137","cardboard.n.01",2,"cardboard","cardboard","vqa",-9.80515781846292,FALSE,1,"paper.n.01","paper","cardboard",NA,NA,NA,NA
"138","caribou.n.01",4,"caribou","reindeer","vqa",-9.98747937525687,FALSE,0,"deer.n.01","object","animal","deer","caribou",NA,NA
"139","carrot.n.02",2,"carrot","carrot","vqa_yoloe",-7.13125771458304,FALSE,0,"object.n.01","object","carrot",NA,NA,NA,NA
"140","cartoon.n.01",1,"cartoon","cartoon","vqa",-10.903770107131,FALSE,0,"entity.n.01","cartoon",NA,NA,NA,NA,NA
"141","case.n.05",3,"case","case","vqa",-10.903770107131,FALSE,2,"container.n.01","object","container","case",NA,NA,NA
"142","cat_food.n.01",1,"cat food","cat food","vqa",-9.1990220148926,FALSE,0,"entity.n.01","cat food",NA,NA,NA,NA,NA
"143","ceiling.n.01",3,"ceiling","ceiling","vqa",-5.08963957530596,FALSE,0,"surface.n.01","object","surface","ceiling",NA,NA,NA
"144","ceiling.n.03",1,"ceiling","roof","vqa_yoloe",-7.80011564051577,TRUE,0,"entity.n.01","ceiling",NA,NA,NA,NA,NA
"145","cereal.n.01",3,"cereal","cereal","vqa_yoloe",-9.03809576168947,TRUE,1,"grass.n.01","object","grass","cereal",NA,NA,NA
"146","cereal_box.n.01",4,"cereal box","cereal box","vqa",-8.70654552979481,FALSE,0,"box.n.01","object","container","box","cereal box",NA,NA
"147","chain.n.09",4,"chain","chain","vqa",-10.903770107131,FALSE,0,"necklace.n.01","object","decoration","necklace","chain",NA,NA
"148","chair.n.01",4,"chair","chair","vqa_yoloe",-1.22290456993066,TRUE,1,"seat.n.03","object","furniture","seat","chair",NA,NA
"149","chalk.n.04",3,"chalk","chalk","vqa_yoloe",-7.5623499777962,TRUE,0,"writing_implement.n.01","object","writing implement","chalk",NA,NA,NA
"150","chandelier.n.01",3,"chandelier","chandelier","vqa",-5.71638430129027,FALSE,0,"fixture.n.01","object","fixture","chandelier",NA,NA,NA
"151","charger.n.01",4,"charger","charger","vqa",-9.98747937525687,FALSE,0,"horse.n.01","object","animal","horse","charger",NA,NA
"152","cheek.n.01",2,"cheek","cheek","yoloe",-9.21150235484038,TRUE,0,"body_part.n.01","body part","cheek",NA,NA,NA,NA
"153","chessboard.n.01",3,"chessboard","chess board","vqa",-9.65100713863566,FALSE,0,"surface.n.01","object","surface","chessboard",NA,NA,NA
"154","chessboard.n.01",3,"chessboard","chessboard","vqa",-8.95785995807572,FALSE,0,"surface.n.01","object","surface","chessboard",NA,NA,NA
"155","chessman.n.01",2,"chessman","chess piece","vqa",-9.29433219469693,FALSE,0,"object.n.01","object","chessman",NA,NA,NA,NA
"156","chewing_gum.n.01",1,"chewing gum","gum","yoloe",-4.41281299154966,TRUE,0,"entity.n.01","chewing gum",NA,NA,NA,NA,NA
"157","chicken.n.01",3,"chicken","chicken","vqa_yoloe",-8.96060872969823,TRUE,0,"meat.n.01","food","meat","chicken",NA,NA,NA
"158","child.n.01",3,"child","child","vqa",-2.72920807965159,TRUE,1,"person.n.01","object","person","child",NA,NA,NA
"159","child.n.01",3,"child","kid","vqa",-8.65247830852453,FALSE,1,"person.n.01","object","person","child",NA,NA,NA
"160","chimney.n.01",2,"chimney","chimney","vqa",-10.903770107131,FALSE,0,"object.n.01","object","chimney",NA,NA,NA,NA
"161","chip.n.04",2,"chip","potato chip","vqa",-9.65100713863566,TRUE,0,"dish.n.02","dish","chip",NA,NA,NA,NA
"162","chip.n.04",2,"chip","chip","yoloe",-8.70957698054466,FALSE,0,"dish.n.02","dish","chip",NA,NA,NA,NA
"163","chopping_board.n.01",4,"chopping board","cutting board","vqa",-10.903770107131,FALSE,0,"board.n.03","object","sheet","board","chopping board",NA,NA
"164","chopstick.n.01",3,"chopstick","chopstick","vqa",-9.29433219469693,FALSE,0,"tableware.n.01","object","tableware","chopstick",NA,NA,NA
"165","christmas_bush.n.01",3,"christmas bush","christmas tree","vqa",-4.31966956105949,FALSE,0,"tree.n.01","object","tree","christmas bush",NA,NA,NA
"166","christmas_present.n.01",3,"christmas present","christmas present","vqa",-8.82432856545119,FALSE,0,"present.n.02","gift","present","christmas present",NA,NA,NA
"167","christmas_stocking.n.01",5,"christmas stocking","christmas stocking","vqa",-6.78473293231856,FALSE,0,"stocking.n.01","object","clothing","hosiery","stocking","christmas stocking",NA
"168","cistern.n.02",3,"cistern","water tank","vqa",-9.51747574601114,FALSE,0,"container.n.01","object","container","cistern",NA,NA,NA
"169","clock.n.01",3,"clock","clock","vqa_yoloe",-4.69504847154249,TRUE,3,"device.n.01","object","device","clock",NA,NA,NA
"170","clothes_hamper.n.01",4,"clothes hamper","laundry basket","vqa",-10.2106229265711,FALSE,0,"basket.n.01","object","container","basket","clothes hamper",NA,NA
"171","clothesline.n.01",3,"clothesline","clothesline","vqa",-10.2106229265711,FALSE,0,"cord.n.01","object","cord","clothesline",NA,NA,NA
"172","clothespin.n.01",3,"clothespin","clothespin","vqa",-10.4983049990229,FALSE,0,"device.n.01","object","device","clothespin",NA,NA,NA
"173","clothing.n.01",2,"clothing","clothing",NA,NA,NA,14,"object.n.01","object","clothing",NA,NA,NA,NA
"174","cloud.n.01",1,"cloud","cloud","vqa_yoloe",-11.1037265147143,TRUE,0,"entity.n.01","cloud",NA,NA,NA,NA,NA
"175","coat.n.01",3,"coat","coat","vqa_yoloe",-9.31607935187844,TRUE,1,"clothing.n.01","object","clothing","coat",NA,NA,NA
"176","coatrack.n.01",3,"coatrack","coat rack","vqa",-10.903770107131,FALSE,0,"rack.n.01","object","rack","coatrack",NA,NA,NA
"177","coca_cola.n.01",2,"coca cola","coca cola","vqa",-10.903770107131,FALSE,0,"beverage.n.01","beverage","coca cola",NA,NA,NA,NA
"178","coca_cola.n.01",2,"coca cola","coke","yoloe",-5.49831628420371,TRUE,0,"beverage.n.01","beverage","coca cola",NA,NA,NA,NA
"179","cock.n.04",3,"cock","rooster","yoloe",-6.35947967882667,TRUE,0,"animal.n.01","object","animal","cock",NA,NA,NA
"180","cocoa.n.01",2,"cocoa","chocolate","yoloe",-10.2758966861982,TRUE,0,"beverage.n.01","beverage","cocoa",NA,NA,NA,NA
"181","coffee.n.02",3,"coffee","coffee","yoloe",-6.83277699814973,TRUE,0,"tree.n.01","object","tree","coffee",NA,NA,NA
"182","coffee_cup.n.01",4,"coffee cup","coffee cup","vqa",-8.04156922620156,FALSE,0,"cup.n.01","object","container","cup","coffee cup",NA,NA
"183","coffee_filter.n.01",3,"coffee filter","coffee filter","vqa",-10.903770107131,FALSE,0,"device.n.01","object","device","coffee filter",NA,NA,NA
"184","coffee_maker.n.01",3,"coffee maker","coffee maker","vqa",-6.59970501392686,FALSE,0,"home_appliance.n.01","object","home appliance","coffee maker",NA,NA,NA
"185","coffee_mug.n.01",4,"coffee mug","coffee mug","vqa",-9.11201063790297,FALSE,0,"mug.n.04","object","container","mug","coffee mug",NA,NA
"186","coffee_table.n.01",4,"coffee table","coffee table","vqa",-8.04156922620156,FALSE,0,"table.n.02","object","furniture","table","coffee table",NA,NA
