subject_id,category,stratum,cdi_domain,age_from,age_to,age_midpoint,centroid_displacement,dispersion_from,dispersion_to,dispersion_delta,n_crops_from,n_crops_to
00400001,plate,living_room,household,23,24,23.5,0.3680525192136672,0.4014313001985323,0.3634979612145745,-0.03793333898395779,15,28
00400001,plate,living_room,household,24,25,24.5,0.3492571076966339,0.3634979612145745,0.4563328765023559,0.09283491528778137,28,39
00400001,plate,living_room,household,25,26,25.5,0.34096997083413394,0.4563328765023559,0.45926998763316973,0.002937111130813852,39,40
00400001,plate,living_room,household,26,27,26.5,0.4187940078516247,0.45926998763316973,0.29522771883013105,-0.16404226880303868,40,51
00400001,plate,living_room,household,27,28,27.5,0.35947654159708753,0.29522771883013105,0.44533211844584325,0.1501043996157122,51,53
00400001,plate,playing,household,11,12,11.5,0.09015266693332902,0.46762762930880103,0.39252720944339037,-0.07510041986541066,46,38
00400001,plate,playing,household,12,13,12.5,0.0659177787808023,0.39252720944339037,0.4190260533313229,0.026498843887932555,38,93
00400001,plate,playing,household,13,14,13.5,0.1308720230206617,0.4190260533313229,0.3636570755032704,-0.0553689778280525,93,140
00400001,plate,playing,household,14,15,14.5,0.08357385103895776,0.3636570755032704,0.4041734589419576,0.04051638343868719,140,57
00400001,plate,playing,household,15,16,15.5,0.47483533313825554,0.4041734589419576,0.32464948350883327,-0.07952397543312434,57,25
00400001,plate,playing,household,16,17,16.5,0.4892386484579886,0.32464948350883327,0.4360219482755195,0.11137246476668622,25,43
00400001,plate,playing,household,17,18,17.5,0.3848159526890066,0.4360219482755195,0.3444770271144937,-0.0915449211610258,43,12
00400001,plate,playing,household,20,21,20.5,0.33574265879558995,0.36782133764438385,0.451515769959806,0.08369443231542217,16,12
00400001,plate,playing,household,23,24,23.5,0.32645309347795015,0.4301906324880129,0.3626873355739345,-0.06750329691407841,21,19
00400001,plate,playing,household,24,25,24.5,0.3505386655935989,0.3626873355739345,0.5004357439144256,0.13774840834049107,19,42
